name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
*Seeded* Blue Zlushies by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
*Seeded* Blue Zlushies by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
*Seeded* Blue Zlushies by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
*Seeded* Blue Zlushies by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
*Seeded* Blue Zlushies by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
*Seeded* Blue Zlushies by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
*Seeded* Lick N Laid by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
*Seeded* Lick N Laid by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
*Seeded* Lick N Laid by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
*Seeded* Lick N Laid by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
*Seeded* Lick N Laid by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Chimera #1 by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
Chimera #1 by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
Chimera #1 by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
Chimera #1 by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
Chimera #1 by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Chimera #1 by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
Fizz by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
Fizz by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
Fizz by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
Fizz by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
Fizz by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Fizz by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
LA Haze by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
LA Haze by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
LA Haze by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
LA Haze by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
LA Haze by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
