name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
14er Caramel Tsunami - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
14er Caramel Tsunami - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
14er Caramel Tsunami - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
14er Fumez - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
14er Fumez - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
14er Fumez - Top Shelf,,56 g,56.0,220.64,110.32,Flower,False
14er Fumez - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
14er Fumez - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
14er Fumez - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
14er Fumez - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
14er Gary Payton - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
14er Gary Payton - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
14er Gary Payton - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
14er Gary Payton - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
14er Gary Payton - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
14er Lazer Jet - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
14er Lazer Jet - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
14er Lazer Jet - Top Shelf,,56 g,56.0,220.64,110.32,Flower,False
14er Lazer Jet - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
14er Lazer Jet - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
14er Lazer Jet - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
14er Lazer Jet - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
14er Mac Daddy - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
14er Mac Daddy - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
14er Mac Daddy - Top Shelf,,56 g,56.0,220.64,110.32,Flower,False
14er Mac Daddy - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
14er Mac Daddy - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
14er Mac Daddy - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
14er Mac Daddy - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
14er Magik Muffins - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
14er Magik Muffins - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
14er Magik Muffins - Top Shelf,,56 g,56.0,220.64,110.32,Flower,False
14er Magik Muffins - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
14er Magik Muffins - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
14er Magik Muffins - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
14er Magik Muffins - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
14er Super Zoldier - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
14er Super Zoldier - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
14er Super Zoldier - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
14er Super Zoldier - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
14er Super Zoldier - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
14er Super Zoldier - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
Grape Cream Cake - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
Grape Cream Cake - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
Grape Cream Cake - Top Shelf,,56 g,56.0,220.64,110.32,Flower,False
Grape Cream Cake - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
Grape Cream Cake - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
Grape Cream Cake - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
Grape Cream Cake - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
Headbanger - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
Headbanger - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
Headbanger - Top Shelf,,56 g,56.0,220.64,110.32,Flower,False
Headbanger - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
Headbanger - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
Headbanger - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
Headbanger - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
Pure Michigan - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
Pure Michigan - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
Pure Michigan - Top Shelf,,56 g,56.0,220.64,110.32,Flower,False
Pure Michigan - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
Pure Michigan - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
Pure Michigan - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
Pure Michigan - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
Pyxy Stix - Top Shelf,,1 g,1.0,9.19,257.32,Flower,False
Pyxy Stix - Top Shelf,,42 g,42.0,165.48,110.32,Flower,False
Pyxy Stix - Top Shelf,,56 g,56.0,220.64,110.32,Flower,False
Pyxy Stix - Top Shelf,,1/8 oz,3.5,22.96,183.68,Flower,False
Pyxy Stix - Top Shelf,,1/4 oz,7.0,41.37,165.48,Flower,False
Pyxy Stix - Top Shelf,,1/2 oz,14.0,59.78,119.56000000000002,Flower,False
Pyxy Stix - Top Shelf,,1 oz,28.0,110.32,110.32,Flower,False
Pre-Pack OZ -Rotating Strains,,1 oz,28.0,57.44,57.43999999999999,Flower,True
Peanut Butter Mints I/H - PrePack,,448 g,448.0,918.4,57.39999999999999,Flower,False
