name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Bridge Burn,,1 g,1.0,5.98,167.44,Flower,False
Bridge Burn,,1/8 oz,3.5,11.96,95.68,Flower,False
Bridge Burn,,1/4 oz,7.0,19.93,79.72,Flower,False
Bridge Burn,,1/2 oz,14.0,34.89,69.78,Flower,False
Bridge Burn,,1 oz,28.0,49.84,49.84,Flower,False
Ghost Betty,,1 g,1.0,5.98,167.44,Flower,False
Ghost Betty,,1/8 oz,3.5,11.96,95.68,Flower,False
Ghost Betty,,1/4 oz,7.0,19.93,79.72,Flower,False
Ghost Betty,,1/2 oz,14.0,34.89,69.78,Flower,False
Ghost Betty,,1 oz,28.0,49.84,49.84,Flower,False
Rainbow Sherbert,,1 g,1.0,6.01,168.28,Flower,False
Rainbow Sherbert,,1/8 oz,3.5,17.17,137.36,Flower,False
Rainbow Sherbert,,1/4 oz,7.0,30.05,120.19999999999999,Flower,False
Rainbow Sherbert,,1/2 oz,14.0,47.2,94.4,Flower,False
Rainbow Sherbert,,1 oz,28.0,85.82,85.82,Flower,False
Black Ice,,1 g,1.0,7.97,223.16,Flower,False
Black Ice,,1/8 oz,3.5,19.94,159.52,Flower,False
Black Ice,,1/4 oz,7.0,34.89,139.56,Flower,False
Black Ice,,1/2 oz,14.0,59.81,119.62000000000002,Flower,False
Black Ice,,1 oz,28.0,99.66,99.66,Flower,False
Boom Box,,1 g,1.0,7.97,223.16,Flower,False
Boom Box,,1/8 oz,3.5,19.94,159.52,Flower,False
Boom Box,,1/4 oz,7.0,34.89,139.56,Flower,False
Boom Box,,1/2 oz,14.0,59.81,119.62000000000002,Flower,False
Boom Box,,1 oz,28.0,99.66,99.66,Flower,False
Carbon Fiber,,1 g,1.0,7.97,223.16,Flower,False
Carbon Fiber,,1/8 oz,3.5,19.94,159.52,Flower,False
Carbon Fiber,,1/4 oz,7.0,34.89,139.56,Flower,False
Carbon Fiber,,1/2 oz,14.0,59.81,119.62000000000002,Flower,False
Carbon Fiber,,1 oz,28.0,99.66,99.66,Flower,False
Cherry Lemon Gelato,,1 g,1.0,9.97,279.16,Flower,False
Cherry Lemon Gelato,,1/8 oz,3.5,29.9,239.2,Flower,False
Cherry Lemon Gelato,,1/4 oz,7.0,49.84,199.36,Flower,False
Cherry Lemon Gelato,,1/2 oz,14.0,74.75,149.5,Flower,False
Cherry Lemon Gelato,,1 oz,28.0,124.59,124.59,Flower,False
Dank Dough,,1 g,1.0,9.97,279.16,Flower,False
Dank Dough,,1/8 oz,3.5,29.9,239.2,Flower,False
Dank Dough,,1/4 oz,7.0,49.84,199.36,Flower,False
Dank Dough,,1/2 oz,14.0,74.75,149.5,Flower,False
Dank Dough,,1 oz,28.0,124.59,124.59,Flower,False
Ice Cream Cake,,1 g,1.0,9.97,279.16,Flower,False
Ice Cream Cake,,1/8 oz,3.5,29.9,239.2,Flower,False
Ice Cream Cake,,1/4 oz,7.0,49.84,199.36,Flower,False
Ice Cream Cake,,1/2 oz,14.0,74.75,149.5,Flower,False
Ice Cream Cake,,1 oz,28.0,124.59,124.59,Flower,False
Nezquick,,1 g,1.0,9.97,279.16,Flower,False
Nezquick,,1/8 oz,3.5,29.9,239.2,Flower,False
Nezquick,,1/4 oz,7.0,49.84,199.36,Flower,False
Nezquick,,1/2 oz,14.0,74.75,149.5,Flower,False
Nezquick,,1 oz,28.0,124.59,124.59,Flower,False
Rainbow Chip,,1 g,1.0,9.97,279.16,Flower,False
Rainbow Chip,,1/8 oz,3.5,29.9,239.2,Flower,False
Rainbow Chip,,1/4 oz,7.0,49.84,199.36,Flower,False
Rainbow Chip,,1/2 oz,14.0,74.75,149.5,Flower,False
Rainbow Chip,,1 oz,28.0,124.59,124.59,Flower,False
Jenny Kush,,1 g,1.0,11.96,334.88,Flower,False
Jenny Kush,,1/8 oz,3.5,39.87,318.96,Flower,False
Jenny Kush,,1/4 oz,7.0,59.81,239.24000000000004,Flower,False
Jenny Kush,,1/2 oz,14.0,89.7,179.4,Flower,False
Lato 95,,1 g,1.0,11.96,334.88,Flower,False
Lato 95,,1/8 oz,3.5,39.87,318.96,Flower,False
Lato 95,,1/4 oz,7.0,59.81,239.24000000000004,Flower,False
Lato 95,,1/2 oz,14.0,89.7,179.4,Flower,False
Lato 95,,1 oz,28.0,159.48,159.48,Flower,False
Mai Tai,,1 g,1.0,11.96,334.88,Flower,False
Mai Tai,,1/8 oz,3.5,39.87,318.96,Flower,False
Mai Tai,,1/4 oz,7.0,59.81,239.24000000000004,Flower,False
Mai Tai,,1/2 oz,14.0,89.7,179.4,Flower,False
Mai Tai,,1 oz,28.0,159.48,159.48,Flower,False
Shazam,,1 g,1.0,11.96,334.88,Flower,False
Shazam,,1/8 oz,3.5,39.87,318.96,Flower,False
Shazam,,1/4 oz,7.0,59.81,239.24000000000004,Flower,False
Shazam,,1/2 oz,14.0,89.7,179.4,Flower,False
Shazam,,1 oz,28.0,159.48,159.48,Flower,False
Super Boof,,1 g,1.0,11.96,334.88,Flower,False
Super Boof,,1/8 oz,3.5,39.87,318.96,Flower,False
Super Boof,,1/4 oz,7.0,59.81,239.24000000000004,Flower,False
Super Boof,,1/2 oz,14.0,89.7,179.4,Flower,False
Super Boof,,1 oz,28.0,159.48,159.48,Flower,False
Tango,,1 g,1.0,11.96,334.88,Flower,False
Tango,,1/8 oz,3.5,39.87,318.96,Flower,False
Tango,,1/4 oz,7.0,59.81,239.24000000000004,Flower,False
Tropicana Banana,,1 g,1.0,11.96,334.88,Flower,False
