name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Bud - (Top Shelf) East Coast Sour Diesel 20.14% THC,,1 g,1.0,10.0,280.0,Flower,False
Bud - (Top Shelf) East Coast Sour Diesel 20.14% THC,,1/8 oz,3.5,22.0,176.0,Flower,False
Bud - (Top Shelf) East Coast Sour Diesel 20.14% THC,,1/4 oz,7.0,40.0,160.0,Flower,False
Bud - (Top Shelf) East Coast Sour Diesel 20.14% THC,,1/2 oz,14.0,55.0,110.0,Flower,False
Bud - (Top Shelf) East Coast Sour Diesel 20.14% THC,,1 oz,28.0,99.0,99.0,Flower,False
Bud - (Top Shelf) G6 #3 22.59% THC,,1 g,1.0,10.0,280.0,Flower,False
Bud - (Top Shelf) G6 #3 22.59% THC,,1/8 oz,3.5,22.0,176.0,Flower,False
Bud - (Top Shelf) G6 #3 22.59% THC,,1/4 oz,7.0,40.0,160.0,Flower,False
Bud - (Top Shelf) G6 #3 22.59% THC,,1/2 oz,14.0,55.0,110.0,Flower,False
Bud - (Top Shelf) G6 #3 22.59% THC,,1 oz,28.0,99.0,99.0,Flower,False
Bud - (Top Shelf) Purple Dream 19.28% THC,,1 g,1.0,10.0,280.0,Flower,False
Bud - (Top Shelf) Purple Dream 19.28% THC,,1/8 oz,3.5,22.0,176.0,Flower,False
Bud - (Top Shelf) Purple Dream 19.28% THC,,1/4 oz,7.0,40.0,160.0,Flower,False
Bud - (Top Shelf) Purple Dream 19.28% THC,,1/2 oz,14.0,55.0,110.0,Flower,False
Bud - (Top Shelf) Purple Dream 19.28% THC,,1 oz,28.0,99.0,99.0,Flower,False
Bud - Blue Dream 6.32% THC,,1 g,1.0,10.0,280.0,Flower,False
Bud - Blue Dream 6.32% THC,,1/8 oz,3.5,22.0,176.0,Flower,False
Bud - Blue Dream 6.32% THC,,1/4 oz,7.0,40.0,160.0,Flower,False
Bud - Blue Dream 6.32% THC,,1/2 oz,14.0,55.0,110.0,Flower,False
Bud - Blue Dream 6.32% THC,,1 oz,28.0,99.0,99.0,Flower,False
Bud (Private Stock) - Fruity Pebbles 21.6% THC,,1 g,1.0,13.0,364.0,Flower,False
Bud (Private Stock) - Fruity Pebbles 21.6% THC,,1/8 oz,3.5,30.0,240.0,Flower,False
Bud (Private Stock) - Fruity Pebbles 21.6% THC,,1/4 oz,7.0,55.0,220.0,Flower,False
Bud (Private Stock) - Fruity Pebbles 21.6% THC,,1/2 oz,14.0,80.0,160.0,Flower,False
Bud (Private Stock) - Fruity Pebbles 21.6% THC,,1 oz,28.0,140.0,140.0,Flower,False
Bud (Private Stock) - Girl Scout Cookies 17.48% THC,,1 g,1.0,13.0,364.0,Flower,False
Bud (Private Stock) - Girl Scout Cookies 17.48% THC,,1/8 oz,3.5,30.0,240.0,Flower,False
Bud (Private Stock) - Girl Scout Cookies 17.48% THC,,1/4 oz,7.0,55.0,220.0,Flower,False
Bud (Private Stock) - Girl Scout Cookies 17.48% THC,,1/2 oz,14.0,80.0,160.0,Flower,False
Bud (Private Stock) - Girl Scout Cookies 17.48% THC,,1 oz,28.0,140.0,140.0,Flower,False
Bud (Private Stock) - Golden Goat 22.47% THC,,1 g,1.0,13.0,364.0,Flower,False
Bud (Private Stock) - Golden Goat 22.47% THC,,1/8 oz,3.5,30.0,240.0,Flower,False
Bud (Private Stock) - Golden Goat 22.47% THC,,1/4 oz,7.0,55.0,220.0,Flower,False
Bud (Private Stock) - Golden Goat 22.47% THC,,1/2 oz,14.0,80.0,160.0,Flower,False
Bud (Private Stock) - Golden Goat 22.47% THC,,1 oz,28.0,140.0,140.0,Flower,False
Bud - (Top Shelf) Canna Tsu 5.77% THC/8.83% CBD,,1 g,1.0,13.0,364.0,Flower,False
Bud - (Top Shelf) Canna Tsu 5.77% THC/8.83% CBD,,1/8 oz,3.5,22.0,176.0,Flower,False
Bud - (Top Shelf) Canna Tsu 5.77% THC/8.83% CBD,,1/4 oz,7.0,33.0,132.0,Flower,False
Bud - (Top Shelf) Canna Tsu 5.77% THC/8.83% CBD,,1/2 oz,14.0,45.0,90.0,Flower,False
Bud - (Top Shelf) Canna Tsu 5.77% THC/8.83% CBD,,1 oz,28.0,80.0,80.0,Flower,False
Bud - (Top shelf) - Animal Cookies,,1/8 oz,3.5,15.0,120.0,Flower,False
Bud- (Top Shelf) - OJ Kush - Indica 70/30,,1/8 oz,3.5,15.0,120.0,Flower,False
Bud (Private Stock) - Emerald OG 28.66% THC,,1/8 oz,3.5,30.0,240.0,Flower,False
Bud (Private Stock) - Emerald OG 28.66% THC,,1/4 oz,7.0,55.0,220.0,Flower,False
Bud (Private Stock) - Emerald OG 28.66% THC,,1/2 oz,14.0,80.0,160.0,Flower,False
Bud (Private Stock) - Emerald OG 28.66% THC,,1 oz,28.0,140.0,140.0,Flower,False
