name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
MED Equinox Divorce Cake Flower 3.5g,,1/8 oz,3.5,15.0,120.0,Flower,False
MED Equinox Divorce Cake Flower 3.5g,,1/4 oz,7.0,25.0,100.0,Flower,False
MED Equinox Divorce Cake Flower 3.5g,,1/2 oz,14.0,55.0,110.0,Flower,False
MED Equinox Key Lime Pie Flower 3.5g,,1/8 oz,3.5,15.0,120.0,Flower,False
MED Equinox Mac & Cheese Flower 3.5g,,1/8 oz,3.5,15.0,120.0,Flower,False
MED Equinox Mac & Cheese Flower 3.5g,,1/4 oz,7.0,25.0,100.0,Flower,False
MED Equinox Moon Boots Flower 3.5g,,1/8 oz,3.5,15.0,120.0,Flower,False
MED Equinox Moon Boots Flower 3.5g,,1/4 oz,7.0,25.0,100.0,Flower,False
MED Equinox Moon Boots Flower 3.5g,,1/2 oz,14.0,55.0,110.0,Flower,False
MED Equinox White 99 Flower 3.5g,,1/8 oz,3.5,15.0,120.0,Flower,False
MED Equinox Divorce Cake Pre-Pack Flower 28g,,1 oz,28.0,75.0,75.0,Flower,True
MED Equinox LA Baker Pre-Pack Flower 28g,,1 oz,28.0,75.0,75.0,Flower,True
MED Equinox Moon Boots Pre-Pack Flower 28g,,1 oz,28.0,75.0,75.0,Flower,True
