name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Fizz by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
LA Haze by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Rainbow Sherbert #11 by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Motor Breath #15 by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Runtz by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Speakeasy by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Skyscraper by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Ski Train by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Sour Spritzer by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Spearmint Style by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Super Lemon Haze by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Sub Zero by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Z by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Chimera #1 by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
*Seeded* Blue Zlushies by Greenfields Special Bulk,,1 oz,60.19,28.0,60.19,Flower,False,True,"abs<78,stem_outlier"
Rainbow Sherbert #11 by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Ski Train by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Sour Spritzer by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Skyscraper by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Skyscraper by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Spearmint Style by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Spearmint Style by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Speakeasy by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Speakeasy by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Motor Breath #15 by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Ski Train by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Sour Spritzer by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Rainbow Sherbert #11 by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Runtz by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
LA Haze by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Runtz by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Motor Breath #15 by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Super Lemon Haze by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Sub Zero by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Z by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Super Lemon Haze by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Sub Zero by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
LA Haze by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Z by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Fizz by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Chimera #1 by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
Chimera #1 by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
*Seeded* Lick N Laid by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
*Seeded* Blue Zlushies by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
*Seeded* Lick N Laid by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
*Seeded* Blue Zlushies by Greenfields Special Bulk,,1/4 oz,20.06,7.0,80.24,Flower,False,False,
Fizz by Greenfields Special Bulk,,1/2 oz,40.12,14.0,80.24,Flower,False,False,
A1 Stank Sauce by Greenfields Econo Bulk,,1 oz,80.25,28.0,80.25,Flower,False,False,
GMO Crasher by Greenfields Econo Bulk,,1 oz,80.25,28.0,80.25,Flower,False,False,
DK Stomper by Greenfields Econo Bulk,,1 oz,80.25,28.0,80.25,Flower,False,False,
