name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Gasonade,,1 oz,90.0,28.0,90.0,Flower,False,False,
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1 oz,90.0,28.0,90.0,Flower,False,False,
Red Tsunami,,1 oz,90.0,28.0,90.0,Flower,False,False,
Gasonade,,1/2 oz,50.0,14.0,100.0,Flower,False,False,
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1/2 oz,50.0,14.0,100.0,Flower,False,False,
Red Tsunami,,1/2 oz,50.0,14.0,100.0,Flower,False,False,
Blackjack,,1 oz,100.01,28.0,100.01,Flower,False,False,
Better Than Bubba,,1 oz,100.01,28.0,100.01,Flower,False,False,
Free Mac,,1 oz,100.01,28.0,100.01,Flower,False,False,
Lemonatti,,1 oz,100.01,28.0,100.01,Flower,False,False,
Ice Cream Cake,,1 oz,100.01,28.0,100.01,Flower,False,False,
Zooted Samoa,,1 oz,100.01,28.0,100.01,Flower,False,False,
Petrol Punch,,1 oz,100.01,28.0,100.01,Flower,False,False,
Hindu Kush x Early Orange,,1 oz,100.01,28.0,100.01,Flower,False,False,
Free Mac,,1/2 oz,60.0,14.0,120.0,Flower,False,False,
Red Tsunami,,1/4 oz,30.0,7.0,120.0,Flower,False,False,
Ice Cream Cake,,1/2 oz,60.0,14.0,120.0,Flower,False,False,
Lemonatti,,1/2 oz,60.0,14.0,120.0,Flower,False,False,
Hindu Kush x Early Orange,,1/2 oz,60.0,14.0,120.0,Flower,False,False,
Blackjack,,1/2 oz,60.0,14.0,120.0,Flower,False,False,
Better Than Bubba,,1/2 oz,60.0,14.0,120.0,Flower,False,False,
Gasonade,,1/4 oz,30.0,7.0,120.0,Flower,False,False,
Zooted Samoa,,1/2 oz,60.0,14.0,120.0,Flower,False,False,
Petrol Punch,,1/2 oz,60.0,14.0,120.0,Flower,False,False,
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1/4 oz,30.0,7.0,120.0,Flower,False,False,
Bernscotti,,1 oz,125.0,28.0,125.0,Flower,False,True,stem_outlier
Tropicana Banana,,1 oz,125.0,28.0,125.0,Flower,False,True,stem_outlier
Swiss Watch,,1 oz,125.0,28.0,125.0,Flower,False,True,stem_outlier
Super S'mores,,1 oz,125.0,28.0,125.0,Flower,False,True,stem_outlier
Nezquick,,1 oz,125.0,28.0,125.0,Flower,False,True,stem_outlier
Lemon Lollipops - Sativa - 14er - Bulk Flower - MED,,1 oz,125.0,28.0,125.0,Flower,False,True,stem_outlier
Kimchi Crush,,1 oz,125.0,28.0,125.0,Flower,False,True,stem_outlier
Super Sour Lemon,,1 oz,125.0,28.0,125.0,Flower,False,True,stem_outlier
Ice Cream Cake,,1/4 oz,35.0,7.0,140.0,Flower,False,False,
Free Mac,,1/4 oz,35.0,7.0,140.0,Flower,False,False,
Petrol Punch,,1/4 oz,35.0,7.0,140.0,Flower,False,False,
Zooted Samoa,,1/4 oz,35.0,7.0,140.0,Flower,False,False,
Better Than Bubba,,1/4 oz,35.0,7.0,140.0,Flower,False,False,
Lemonatti,,1/4 oz,35.0,7.0,140.0,Flower,False,False,
Blackjack,,1/4 oz,35.0,7.0,140.0,Flower,False,False,
Hindu Kush x Early Orange,,1/4 oz,35.0,7.0,140.0,Flower,False,False,
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1/8 oz,18.0,3.5,144.0,Flower,False,False,
Gasonade,,1/8 oz,18.0,3.5,144.0,Flower,False,False,
Red Tsunami,,1/8 oz,18.0,3.5,144.0,Flower,False,False,
Lemon Lollipops - Sativa - 14er - Bulk Flower - MED,,1/2 oz,75.01,14.0,150.02,Flower,False,False,
Bernscotti,,1/2 oz,75.01,14.0,150.02,Flower,False,False,
Super Sour Lemon,,1/2 oz,75.01,14.0,150.02,Flower,False,False,
Nezquick,,1/2 oz,75.01,14.0,150.02,Flower,False,False,
Swiss Watch,,1/2 oz,75.01,14.0,150.02,Flower,False,False,
Tropicana Banana,,1/2 oz,75.01,14.0,150.02,Flower,False,False,
