name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
GMG - Shake -,,1/2 oz,11.03,14.0,22.06,Shake/Popcorn/Trim,False,,
Golden Meds Grow - Snoop's Zauce,,56 g,74.0,56.0,37.0,Flower,False,False,
(MED) Golden Meds Flower,,1/2 oz,27.56,14.0,55.12,Flower,False,False,
(Med) Everbloom - Blue Dream,,1/2 oz,27.56,14.0,55.12,Flower,False,False,
(MED) Golden Meds Flower,,1/4 oz,14.7,7.0,58.800000000000004,Flower,False,False,
(MED) Golden Meds Flower,,1/8 oz,7.35,3.5,58.800000000000004,Flower,False,False,
Golden Meds Grow - Snoop's Zauce,,1/8 oz,7.35,3.5,58.800000000000004,Flower,False,False,
(Med) Everbloom - Blue Dream,,1/4 oz,14.7,7.0,58.800000000000004,Flower,False,False,
Golden Meds Grow - Snoop's Zauce,,1/4 oz,14.7,7.0,58.800000000000004,Flower,False,False,
Magic City - The Soap,,1/8 oz,7.35,3.5,58.800000000000004,Flower,False,False,
(Med) Everbloom - Blue Dream,,1/8 oz,7.35,3.5,58.800000000000004,Flower,False,False,
(MED) A Cut Above - Flower Bulk -,,1/2 oz,36.75,14.0,73.5,Flower,False,False,
(MED) A Cut Above - Flower Bulk -,,1 oz,73.52,28.0,73.52,Flower,False,False,
(Med) A Cut Above - Swamp Water Fumez,,1/8 oz,9.19,3.5,73.52,Flower,False,False,
(MED) A Cut Above - Flower Bulk -,,1/8 oz,9.19,3.5,73.52,Flower,False,False,
(Med) A Cut Above - Apples & Bananas,,1/8 oz,9.19,3.5,73.52,Flower,False,False,
(Med) Bloom - Gelonade,,1/8 oz,9.19,3.5,73.52,Flower,False,False,
Egozi - Bulk Flower -,,1/8 oz,9.19,3.5,73.52,Flower,False,False,
(Med) NezQuick,,1/8 oz,9.19,3.5,73.52,Flower,False,False,
(Med) Everbloom - Golden Goat,,1/8 oz,9.19,3.5,73.52,Flower,False,False,
(Med) NezQuick,,1/4 oz,18.39,7.0,73.56,Flower,False,False,
(Med) Bloom - Gelonade,,1/4 oz,18.39,7.0,73.56,Flower,False,False,
(Med) A Cut Above - Swamp Water Fumez,,1/4 oz,18.39,7.0,73.56,Flower,False,False,
(MED) A Cut Above - Flower Bulk -,,1/4 oz,18.39,7.0,73.56,Flower,False,False,
Egozi - Bulk Flower -,,1/4 oz,18.39,7.0,73.56,Flower,False,False,
(MED) Cherry - Kameleons - Super Platinum Lime Cherry Gelato - 3 PK,,2.4 g,8.25,2.4,96.25,Flower,False,False,
(Med) Everbloom - Blue Dream,,1 g,3.67,1.0,102.75999999999999,Flower,False,False,
Magic City - The Soap,,1 g,3.67,1.0,102.75999999999999,Flower,False,False,
Golden Meds Grow - Snoop's Zauce,,1 g,3.67,1.0,102.75999999999999,Flower,False,False,
(MED) Golden Meds Flower,,1 g,3.67,1.0,102.75999999999999,Flower,False,False,
(Med) A Cut Above - Apples & Bananas,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
(MED) A Cut Above - Flower Bulk -,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
(Med) NezQuick,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
(MED) Magic City Bulk Flower,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
(Med) Everbloom - Golden Goat,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
(MED) Egozi - Bulk - Flower,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
(Med) Bloom - Gelonade,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
(Med) A Cut Above - Swamp Water Fumez,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
Egozi - Bulk Flower -,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
Candy Fumez (Zkittlez x Sherbanger) - Slow Cured Flower - 23.19%,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
BLM F.A.F.O. + SFV OG Live Resin Roll (5x.5g) Pack,,2.5 g,38.5,2.5,431.2,Flower,True,,
