name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
MED - Legacy Grown - Soap / Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Grandi Guava / Sugar Leaf Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Four Kings / Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Loudest / Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Dante's Wrath / Sugar Leaf Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Rainbow Beltz / Sugar Leaf Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
"MED - Legacy Grown - Four Kings / ""Seeded"" Tier Buds",,1 g,1.0,1.0,28.0,Flower,False,False,
MED - Generations Garden - Bubba Gum / Orange-Tier Buds,,1 g,1.0,1.0,28.0,Flower,False,False,
MED - Long Gone Farms - Mystery Machine / Red-Tier Popcorn (Copy),,1 g,1.0,1.0,28.0,Shake/Popcorn/Trim,False,,
MED - NuHi - Ecto-Cooler / Red Tier | Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - NuHi - Pineapple Fields / Red Tier | Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - NuHi - Lilac Diesel / Red Tier | Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Crosstada / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Point Break / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - NuHi - Blue Dream / Red Tier | Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - NuHi - Durban Poison / Red Tier | Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Vera - Sherblaster / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Boulder Built - Sudz (Soap x Devil Driver) / Red -Tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Vera - Jack Herer / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Vera - Speakeasy / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Vera - Sherblaster / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Vera - Jack Herer / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - NuHi - Ecto-Cooler / Red Tier | Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - NuHi - Blue Dream / Red Tier | Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - NuHi - Grape Gas / Red Tier | Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - NuHi - Durban Poison / Red Tier | Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Crosstada / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - NuHi - Lilac Diesel / Red Tier | Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Point Break / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - NuHi - Pineapple Fields / Red Tier | Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Boulder Built - Sudz (Soap x Devil Driver) / Red -Tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Vera - Speakeasy / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - NuHi - Ecto-Cooler / Red Tier | Popcorn,,1/4 oz,10.0,7.0,40.0,Shake/Popcorn/Trim,False,,
MED - NuHi - Lilac Diesel / Red Tier | Popcorn,,1/4 oz,10.0,7.0,40.0,Shake/Popcorn/Trim,False,,
MED - NuHi - Lilac Diesel / Red Tier | Popcorn,,1/2 oz,20.0,14.0,40.0,Shake/Popcorn/Trim,False,,
MED - NuHi - Grape Gas / Red Tier | Popcorn,,1/4 oz,10.0,7.0,40.0,Shake/Popcorn/Trim,False,,
MED - Vera - Jack Herer / Red tier Popcorn,,1 oz,40.0,28.0,40.0,Shake/Popcorn/Trim,False,,
MED - Vera - Jack Herer / Red tier Popcorn,,1/4 oz,10.0,7.0,40.0,Shake/Popcorn/Trim,False,,
MED - Vera - Jack Herer / Red tier Popcorn,,1/2 oz,20.0,14.0,40.0,Shake/Popcorn/Trim,False,,
MED - Vera - Sherblaster / Red tier Popcorn,,1 oz,40.0,28.0,40.0,Shake/Popcorn/Trim,False,,
MED - Vera - Sherblaster / Red tier Popcorn,,1/4 oz,10.0,7.0,40.0,Shake/Popcorn/Trim,False,,
MED - NuHi - Durban Poison / Red Tier | Popcorn,,1/2 oz,20.0,14.0,40.0,Shake/Popcorn/Trim,False,,
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,1/4 oz,10.0,7.0,40.0,Shake/Popcorn/Trim,False,,
MED - Vera - Sherblaster / Red tier Popcorn,,1/2 oz,20.0,14.0,40.0,Shake/Popcorn/Trim,False,,
MED - NuHi - Grape Gas / Red Tier | Popcorn,,1 oz,40.0,28.0,40.0,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Point Break / Red tier Popcorn,,1 oz,40.0,28.0,40.0,Shake/Popcorn/Trim,False,,
