name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
MED | GARY PAYTON RUNTZ,,1 oz,50.0,28.0,50.0,Flower,False,True,"abs<78,stem_outlier"
MED | GARY PAYTON RUNTZ,,1/2 oz,30.0,14.0,60.0,Flower,False,False,
MED | CHERRY PALOMA,,1 oz,60.0,28.0,60.0,Flower,False,True,"abs<78,stem_outlier"
MED | BANANA PANCAKES,,1 oz,60.0,28.0,60.0,Flower,False,True,"abs<78,stem_outlier"
MED | PAPAYA GUSHERS,,1 oz,60.0,28.0,60.0,Flower,False,True,"abs<78,stem_outlier"
MED | WAFFLES,,1 oz,60.0,28.0,60.0,Flower,False,True,"abs<78,stem_outlier"
MED | GG4,,1 oz,60.0,28.0,60.0,Flower,False,True,"abs<78,stem_outlier"
MED | BANANA PANCAKES,,1/2 oz,35.0,14.0,70.0,Flower,False,False,
MED | GG4,,1/2 oz,35.0,14.0,70.0,Flower,False,False,
MED | CHERRY PALOMA,,1/2 oz,35.0,14.0,70.0,Flower,False,False,
MED | WAFFLES,,1/2 oz,35.0,14.0,70.0,Flower,False,False,
MED | PAPAYA GUSHERS,,1/2 oz,35.0,14.0,70.0,Flower,False,False,
MED | GARY PAYTON RUNTZ,,1/4 oz,20.0,7.0,80.0,Flower,False,False,
MED | DEVIL'S DELIGHT,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | COOKIES AND CREAM,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | BLUE DREAM,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | DURBAN POISON,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | GELATO RUNTZ,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | GRAPE CREAM CAKE,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | PINK RUNTZ,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | TROP CHERRY PUNCH,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | STUFFED FRENCH TOAST,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | PUNCH BREATH,,1 oz,80.0,28.0,80.0,Flower,False,True,stem_outlier
MED | COOKIES AND CREAM,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | GRAPE CREAM CAKE,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | PINK RUNTZ,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | TROP CHERRY PUNCH,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | STUFFED FRENCH TOAST,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | BLUE DREAM,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | DURBAN POISON,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | DEVIL'S DELIGHT,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | GELATO RUNTZ,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | PUNCH BREATH,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED | GARY PAYTON RUNTZ,,1/8 oz,12.0,3.5,96.0,Flower,False,False,
MED | ZOUR WARHEADZ,,1 oz,100.0,28.0,100.0,Flower,False,True,stem_outlier
MED | TRUFFLE RUNTZ,,1 oz,100.0,28.0,100.0,Flower,False,True,stem_outlier
MED | HONEYMOON CRASHER,,1 oz,100.0,28.0,100.0,Flower,False,True,stem_outlier
MED | CRESCENDO #11,,1 oz,100.0,28.0,100.0,Flower,False,True,stem_outlier
MED | FROSTED GELATO,,1 oz,100.0,28.0,100.0,Flower,False,True,stem_outlier
MED | DIABLE DOUX,,1 oz,100.0,28.0,100.0,Flower,False,True,stem_outlier
MED | WAFFLES,,1/4 oz,25.0,7.0,100.0,Flower,False,False,
MED | GG4,,1/4 oz,25.0,7.0,100.0,Flower,False,False,
MED | PAPAYA GUSHERS,,1/4 oz,25.0,7.0,100.0,Flower,False,False,
MED | BANANA PANCAKES,,1/4 oz,25.0,7.0,100.0,Flower,False,False,
MED | CHERRY PALOMA,,1/4 oz,25.0,7.0,100.0,Flower,False,False,
MED | FROSTED GELATO,,1/2 oz,55.0,14.0,110.0,Flower,False,False,
MED | DIABLE DOUX,,1/2 oz,55.0,14.0,110.0,Flower,False,False,
MED | HONEYMOON CRASHER,,1/2 oz,55.0,14.0,110.0,Flower,False,False,
MED | TRUFFLE RUNTZ,,1/2 oz,55.0,14.0,110.0,Flower,False,False,
MED | ZOUR WARHEADZ,,1/2 oz,55.0,14.0,110.0,Flower,False,False,
