name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
$59/oz OTD Indoor Flower,,1 oz,54.05,28.0,54.05,Flower,False,False,
Ingrid,,1 oz,59.0,28.0,59.0,Flower,False,True,"abs<71,stem_outlier"
Super Lemon Haze,,1 oz,59.0,28.0,59.0,Flower,False,True,"abs<71,stem_outlier"
Pillow Factory,,1 oz,59.0,28.0,59.0,Flower,False,True,"abs<71,stem_outlier"
Buttermilk Biscuits,,1 oz,72.6,28.0,72.6,Flower,False,False,
Don Shula,,1 oz,72.6,28.0,72.6,Flower,False,False,
$59/oz OTD High Quality Indoor Flower,,1 oz,72.6,28.0,72.6,Flower,False,False,
Apple Pie,,1 oz,79.0,28.0,79.0,Flower,False,False,
Red Runtz,,1 oz,79.0,28.0,79.0,Flower,False,False,
Gummies,,1 oz,79.0,28.0,79.0,Flower,False,False,
Lemon Meringue,,1 oz,79.0,28.0,79.0,Flower,False,False,
Super Lemon Haze,,1/2 oz,44.95,14.0,89.9,Flower,False,False,
Pillow Factory,,1/2 oz,44.95,14.0,89.9,Flower,False,False,
Ingrid,,1/2 oz,44.95,14.0,89.9,Flower,False,False,
$79/oz OTD Premium Indoor Flower,,1 oz,90.98,28.0,90.98,Flower,False,False,
Pillow Factory,,1/4 oz,22.95,7.0,91.8,Flower,False,False,
Ingrid,,1/4 oz,22.95,7.0,91.8,Flower,False,False,
Super Lemon Haze,,1/4 oz,22.95,7.0,91.8,Flower,False,False,
Kush Mints,,1 oz,99.0,28.0,99.0,Flower,False,False,
Purple Punch Breath,,1 oz,99.0,28.0,99.0,Flower,False,False,
Pancake Syrup,,1 oz,99.0,28.0,99.0,Flower,False,False,
Glueball,,1 oz,99.0,28.0,99.0,Flower,False,False,
Blue Garlic,,1 oz,99.0,28.0,99.0,Flower,False,False,
Lemon Meringue,,1/4 oz,24.95,7.0,99.8,Flower,False,False,
Apple Pie,,1/4 oz,24.95,7.0,99.8,Flower,False,False,
Buttermilk Biscuits,,1/4 oz,24.95,7.0,99.8,Flower,False,False,
Don Shula,,1/4 oz,24.95,7.0,99.8,Flower,False,False,
Red Runtz,,1/4 oz,24.95,7.0,99.8,Flower,False,False,
Gummies,,1/4 oz,24.95,7.0,99.8,Flower,False,False,
Don Shula,,1/2 oz,49.95,14.0,99.9,Flower,False,False,
Red Runtz,,1/2 oz,49.95,14.0,99.9,Flower,False,False,
Apple Pie,,1/2 oz,49.95,14.0,99.9,Flower,False,False,
Gummies,,1/2 oz,49.95,14.0,99.9,Flower,False,False,
Lemon Meringue,,1/2 oz,49.95,14.0,99.9,Flower,False,False,
Buttermilk Biscuits,,1/2 oz,49.95,14.0,99.9,Flower,False,False,
Super Lemon Haze,,1/8 oz,12.95,3.5,103.6,Flower,False,False,
Pillow Factory,,1/8 oz,12.95,3.5,103.6,Flower,False,False,
Ingrid,,1/8 oz,12.95,3.5,103.6,Flower,False,False,
Pancake Syrup,,1/2 oz,54.95,14.0,109.9,Flower,False,False,
Glueball,,1/2 oz,54.95,14.0,109.9,Flower,False,False,
Kush Mints,,1/2 oz,54.95,14.0,109.9,Flower,False,False,
Blue Garlic,,1/2 oz,54.95,14.0,109.9,Flower,False,False,
Purple Punch Breath,,1/2 oz,54.95,14.0,109.9,Flower,False,False,
Grape Drink,,1 oz,114.88,28.0,114.87999999999998,Flower,False,False,
$99/oz OTD Ultra Premium Flower,,1 oz,114.88,28.0,114.87999999999998,Flower,False,False,
Lemon Meringue,,1/8 oz,14.95,3.5,119.6,Flower,False,False,
Gummies,,1/8 oz,14.95,3.5,119.6,Flower,False,False,
Red Runtz,,1/8 oz,14.95,3.5,119.6,Flower,False,False,
Buttermilk Biscuits,,1/8 oz,14.95,3.5,119.6,Flower,False,False,
Apple Pie,,1/8 oz,14.95,3.5,119.6,Flower,False,False,
