name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Buds/Divorce Cake,,1 oz,18.0,28.0,18.0,Flower,False,True,"abs<54,per_g_floor"
Buds/ Orange Zkittles,,1 oz,18.0,28.0,18.0,Flower,False,True,"abs<54,per_g_floor"
MED Popcorn/Donny Burger,,1 oz,18.0,28.0,18.0,Shake/Popcorn/Trim,False,,
Buds/ Orange Zkittles,,1/4 oz,5.74,7.0,22.96,Flower,False,True,per_g_floor
Buds/Divorce Cake,,1/4 oz,5.74,7.0,22.96,Flower,False,True,per_g_floor
Buds/Divorce Cake,,1/8 oz,2.87,3.5,22.96,Flower,False,True,per_g_floor
Buds/ Orange Zkittles,,1/8 oz,2.87,3.5,22.96,Flower,False,True,per_g_floor
Buds/ Orange Zkittles,,1/2 oz,11.48,14.0,22.96,Flower,False,True,per_g_floor
MED Popcorn/Donny Burger,,1/8 oz,2.87,3.5,22.96,Shake/Popcorn/Trim,False,,
MED Popcorn/Donny Burger,,1/2 oz,11.48,14.0,22.96,Shake/Popcorn/Trim,False,,
MED Popcorn/Donny Burger,,1/4 oz,5.74,7.0,22.96,Shake/Popcorn/Trim,False,,
Buds/Divorce Cake,,1/2 oz,11.48,14.0,22.96,Flower,False,True,per_g_floor
Buds/Tropicana Banana MED,,1/8 oz,4.02,3.5,32.16,Flower,False,False,
Buds/Orange Zittles,,1/8 oz,4.02,3.5,32.16,Flower,False,False,
Buds/Orange Zittles,,1/2 oz,16.08,14.0,32.16,Flower,False,False,
Buds/Orange Zittles,,1/4 oz,8.04,7.0,32.16,Flower,False,False,
Med Popcorn/Black Ice,,1/8 oz,4.02,3.5,32.16,Shake/Popcorn/Trim,False,,
MED Buds/White Kandy,,1/2 oz,16.08,14.0,32.16,Flower,False,False,
MED Buds/White Kandy,,1/4 oz,8.04,7.0,32.16,Flower,False,False,
MED Popcorn/Coolio,,1/2 oz,16.08,14.0,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/Black Ice,,1/2 oz,16.08,14.0,32.16,Shake/Popcorn/Trim,False,,
MED Popcorn/Coolio,,1/4 oz,8.04,7.0,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/Black Ice,,1/4 oz,8.04,7.0,32.16,Shake/Popcorn/Trim,False,,
Buds/Tropicana Banana MED,,1/2 oz,16.08,14.0,32.16,Flower,False,False,
Med Buds/Freeworld Miracle,,1/4 oz,8.04,7.0,32.16,Flower,False,False,
MED Buds/White Kandy,,1/8 oz,4.02,3.5,32.16,Flower,False,False,
MED Buds/Uberwensch,,1/4 oz,8.04,7.0,32.16,Flower,False,False,
MED Buds/Uberwensch,,1/2 oz,16.08,14.0,32.16,Flower,False,False,
MED Buds/Uberwensch,,1/8 oz,4.02,3.5,32.16,Flower,False,False,
Med Buds/Freeworld Miracle,,1/2 oz,16.08,14.0,32.16,Flower,False,False,
Med Buds/Freeworld Miracle,,1/8 oz,4.02,3.5,32.16,Flower,False,False,
Buds/Tropicana Banana MED,,1/4 oz,8.04,7.0,32.16,Flower,False,False,
Med Popcorn/Dante's Inferno,,1/8 oz,4.02,3.5,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/Pound Cake,,1/8 oz,4.02,3.5,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/De La Sour,,1/2 oz,16.08,14.0,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/Pound Cake,,1/4 oz,8.04,7.0,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/Pound Cake,,1/2 oz,16.08,14.0,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/De La Sour,,1/8 oz,4.02,3.5,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/De La Sour,,1/4 oz,8.04,7.0,32.16,Shake/Popcorn/Trim,False,,
MED Popcorn/Coolio,,1/8 oz,4.02,3.5,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/Dante's Inferno,,1/4 oz,8.04,7.0,32.16,Shake/Popcorn/Trim,False,,
Med Popcorn/Dante's Inferno,,1/2 oz,16.08,14.0,32.16,Shake/Popcorn/Trim,False,,
Med Buds/Mac #1,,1/4 oz,8.04,7.0,32.16,Flower,False,False,
Med Buds/Mac #1,,1/8 oz,4.02,3.5,32.16,Flower,False,False,
Med Buds/Mac #1,,1/2 oz,16.08,14.0,32.16,Flower,False,False,
Med Popcorn/Black Ice,,1 g,1.15,1.0,32.199999999999996,Shake/Popcorn/Trim,False,,
Med Buds/Freeworld Miracle,,1 g,1.15,1.0,32.199999999999996,Flower,False,False,
Buds/Tropicana Banana MED,,1 g,1.15,1.0,32.199999999999996,Flower,False,False,
Med Popcorn/Dante's Inferno,,1 g,1.15,1.0,32.199999999999996,Shake/Popcorn/Trim,False,,
Med Popcorn/Pound Cake,,1 g,1.15,1.0,32.199999999999996,Shake/Popcorn/Trim,False,,
