name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Black Cherry Cheesecake Classic,,1 g,1.0,9.23,258.44,Flower,False
Black Cherry Cheesecake Classic,,1/8 oz,3.5,27.7,221.6,Flower,False
Black Cherry Cheesecake Classic,,1/4 oz,7.0,55.4,221.6,Flower,False
Black Cherry Cheesecake Classic,,1/2 oz,14.0,92.3,184.6,Flower,False
Black Cherry Cheesecake Classic,,1 oz,28.0,138.49,138.49,Flower,False
Blue Dream CLASSIC,,1 g,1.0,9.23,258.44,Flower,False
Blue Dream CLASSIC,,1/8 oz,3.5,27.7,221.6,Flower,False
Blue Dream CLASSIC,,1/4 oz,7.0,55.4,221.6,Flower,False
Blue Dream CLASSIC,,1/2 oz,14.0,92.3,184.6,Flower,False
Blue Dream CLASSIC,,1 oz,28.0,138.49,138.49,Flower,False
Bubbawhip Classic,,1 g,1.0,9.23,258.44,Flower,False
Bubbawhip Classic,,1/8 oz,3.5,27.7,221.6,Flower,False
Bubbawhip Classic,,1/4 oz,7.0,55.4,221.6,Flower,False
Bubbawhip Classic,,1/2 oz,14.0,92.3,184.6,Flower,False
Bubbawhip Classic,,1 oz,28.0,138.49,138.49,Flower,False
Divine Kush Breath CLASSIC,,1 g,1.0,9.23,258.44,Flower,False
Divine Kush Breath CLASSIC,,1/8 oz,3.5,27.7,221.6,Flower,False
Divine Kush Breath CLASSIC,,1/4 oz,7.0,55.4,221.6,Flower,False
Divine Kush Breath CLASSIC,,1/2 oz,14.0,92.3,184.6,Flower,False
Divine Kush Breath CLASSIC,,1 oz,28.0,138.49,138.49,Flower,False
Drunken Strawberries Classic,,1 g,1.0,9.23,258.44,Flower,False
Drunken Strawberries Classic,,1/8 oz,3.5,27.7,221.6,Flower,False
Drunken Strawberries Classic,,1/4 oz,7.0,55.4,221.6,Flower,False
Drunken Strawberries Classic,,1/2 oz,14.0,92.3,184.6,Flower,False
Drunken Strawberries Classic,,1 oz,28.0,138.49,138.49,Flower,False
Falcon-9 Classic,,1 g,1.0,9.23,258.44,Flower,False
Falcon-9 Classic,,1/8 oz,3.5,27.7,221.6,Flower,False
Falcon-9 Classic,,1/4 oz,7.0,55.4,221.6,Flower,False
Falcon-9 Classic,,1/2 oz,14.0,92.3,184.6,Flower,False
Falcon-9 Classic,,1 oz,28.0,138.49,138.49,Flower,False
Orange Cream #26 Classic,,1 g,1.0,9.23,258.44,Flower,False
Orange Cream #26 Classic,,1/8 oz,3.5,27.7,221.6,Flower,False
Orange Cream #26 Classic,,1/4 oz,7.0,55.4,221.6,Flower,False
Orange Cream #26 Classic,,1/2 oz,14.0,92.3,184.6,Flower,False
Orange Cream #26 Classic,,1 oz,28.0,138.49,138.49,Flower,False
Orange Herijuana CLASSIC,,1 g,1.0,9.23,258.44,Flower,False
Orange Herijuana CLASSIC,,1/8 oz,3.5,27.7,221.6,Flower,False
Orange Herijuana CLASSIC,,1/4 oz,7.0,55.4,221.6,Flower,False
Orange Herijuana CLASSIC,,1/2 oz,14.0,92.3,184.6,Flower,False
Orange Herijuana CLASSIC,,1 oz,28.0,138.49,138.49,Flower,False
Pink Pez CLASSIC,,1 g,1.0,9.23,258.44,Flower,False
Pink Pez CLASSIC,,1/8 oz,3.5,27.7,221.6,Flower,False
Pink Pez CLASSIC,,1/4 oz,7.0,55.4,221.6,Flower,False
Pink Pez CLASSIC,,1/2 oz,14.0,92.3,184.6,Flower,False
Pink Pez CLASSIC,,1 oz,28.0,138.49,138.49,Flower,False
So F'n Gassy CLASSIC,,1 g,1.0,9.23,258.44,Flower,False
So F'n Gassy CLASSIC,,1/8 oz,3.5,27.7,221.6,Flower,False
So F'n Gassy CLASSIC,,1/4 oz,7.0,55.4,221.6,Flower,False
So F'n Gassy CLASSIC,,1/2 oz,14.0,92.3,184.6,Flower,False
So F'n Gassy CLASSIC,,1 oz,28.0,138.49,138.49,Flower,False
Papaya 85 1/4 OZ SHAKE,,1/4 oz,7.0,27.48,109.92,Shake/Popcorn/Trim,False
SherBurger - $30 1/4 Oz SPECIAL,,1/4 oz,7.0,27.48,109.92,Flower,False
Trop Cherry - $30 1/4 Oz SPECIAL - $30 1/4 Oz SPECIAL,,1/4 oz,7.0,27.48,109.92,Flower,False
Colorado Chronic - Cherry Apple Fritter - Exotic,,1/8 oz,3.5,27.7,221.6,Flower,False
Colorado Chronic - Cherry Apple Fritter - Exotic,,1/4 oz,7.0,55.4,221.6,Flower,False
Colorado Chronic - Cherry Apple Fritter - Exotic,,1/2 oz,14.0,92.3,184.6,Flower,False
Colorado Chronic - Cherry Apple Fritter - Exotic,,1 oz,28.0,184.66,184.66,Flower,False
Colorado Chronic - Coco Chanel - Exotic,,1/8 oz,3.5,27.7,221.6,Flower,False
Colorado Chronic - Coco Chanel - Exotic,,1/4 oz,7.0,55.4,221.6,Flower,False
Colorado Chronic - Coco Chanel - Exotic,,1/2 oz,14.0,92.3,184.6,Flower,False
Colorado Chronic - Coco Chanel - Exotic,,1 oz,28.0,184.66,184.66,Flower,False
Colorado Chronic - Fight Club - Exotic,,1/8 oz,3.5,27.7,221.6,Flower,False
Colorado Chronic - Fight Club - Exotic,,1/4 oz,7.0,55.4,221.6,Flower,False
Colorado Chronic - Fight Club - Exotic,,1/2 oz,14.0,92.3,184.6,Flower,False
Colorado Chronic - Fight Club - Exotic,,1 oz,28.0,184.66,184.66,Flower,False
Colorado Chronic - Fire Crotch - Exotic,,1/8 oz,3.5,27.7,221.6,Flower,False
Colorado Chronic - Fire Crotch - Exotic,,1/4 oz,7.0,55.4,221.6,Flower,False
Colorado Chronic - Fire Crotch - Exotic,,1/2 oz,14.0,92.3,184.6,Flower,False
Colorado Chronic - Fire Crotch - Exotic,,1 oz,28.0,184.66,184.66,Flower,False
Colorado Chronic - Mookie B - Exotic,,1/8 oz,3.5,27.7,221.6,Flower,False
Colorado Chronic - Mookie B - Exotic,,1/4 oz,7.0,55.4,221.6,Flower,False
Colorado Chronic - Mookie B - Exotic,,1/2 oz,14.0,92.3,184.6,Flower,False
Colorado Chronic - Mookie B - Exotic,,1 oz,28.0,184.66,184.66,Flower,False
Colorado Chronic - Primetime - Exotic,,1/8 oz,3.5,27.7,221.6,Flower,False
Colorado Chronic - Primetime - Exotic,,1/4 oz,7.0,55.4,221.6,Flower,False
Colorado Chronic - Primetime - Exotic,,1/2 oz,14.0,92.3,184.6,Flower,False
Colorado Chronic - Primetime - Exotic,,1 oz,28.0,184.66,184.66,Flower,False
Colorado Chronic - Suge White - Exotic,,1/8 oz,3.5,27.7,221.6,Flower,False
Colorado Chronic - Suge White - Exotic,,1/4 oz,7.0,55.4,221.6,Flower,False
Colorado Chronic - Suge White - Exotic,,1/2 oz,14.0,92.3,184.6,Flower,False
Colorado Chronic - Suge White - Exotic,,1 oz,28.0,184.66,184.66,Flower,False
Colorado Chronic - Wild Space Ape - Exotic,,1/8 oz,3.5,27.7,221.6,Flower,False
Colorado Chronic - Wild Space Ape - Exotic,,1/4 oz,7.0,55.4,221.6,Flower,False
Colorado Chronic - Wild Space Ape - Exotic,,1/2 oz,14.0,92.3,184.6,Flower,False
Colorado Chronic - Wild Space Ape - Exotic,,1 oz,28.0,184.66,184.66,Flower,False
High Country Cannabis - Candy Fumez - 3.5g Prepack,,1/8 oz,3.5,32.07,256.56,Flower,False
High Country Cannabis - French Whore - 3.5g Prepack,,1/8 oz,3.5,32.07,256.56,Flower,False
High Country Cannabis - Jealous Melon - 3.5g Prepack,,1/8 oz,3.5,32.07,256.56,Flower,False
High Country Cannabis - Love - 3.5g Prepack,,1/8 oz,3.5,32.07,256.56,Flower,False
High Country Cannabis - Maple Dunks - 3.5g Prepack,,1/8 oz,3.5,32.07,256.56,Flower,False
High Country Cannabis - Wonka Bars - 3.5g Prepack,,1/8 oz,3.5,32.07,256.56,Flower,False
Cherry Craft Jars - 41 G's,,1/4 oz,7.0,59.54,238.16,Flower,False
Cherry Craft Jars - Bernscotti,,1/4 oz,7.0,59.54,238.16,Flower,False
Cherry Craft Jars - NezQuick,,1/4 oz,7.0,59.54,238.16,Flower,False
Cherry Craft Jars - Peanut Butter Cherry Pie,,1/4 oz,7.0,59.54,238.16,Flower,False
Cherry Craft Jars - Rainbow Sherbet 2.0,,1/4 oz,7.0,59.54,238.16,Flower,False
Cherry Kush Mints OZ SPECIAL,,1 oz,28.0,91.61,91.61,Flower,False
Papaya 85 OZ SPECIAL,,1 oz,28.0,91.61,91.61,Flower,False
