name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
EMERGEN-C | MED,,1 g,1.0,6.4,179.20000000000002,Flower,False
EMERGEN-C | MED,,1/8 oz,3.5,18.29,146.32,Flower,False
EMERGEN-C | MED,,1/4 oz,7.0,36.58,146.32,Flower,False
EMERGEN-C | MED,,1/2 oz,14.0,64.01,128.02,Flower,False
EMERGEN-C | MED,,1 oz,28.0,114.31,114.31000000000002,Flower,False
LEMON TREE X LEMON PARTY | MED,,1 g,1.0,6.4,179.20000000000002,Flower,False
LEMON TREE X LEMON PARTY | MED,,1/8 oz,3.5,18.29,146.32,Flower,False
LEMON TREE X LEMON PARTY | MED,,1/4 oz,7.0,36.58,146.32,Flower,False
LEMON TREE X LEMON PARTY | MED,,1/2 oz,14.0,64.01,128.02,Flower,False
LEMON TREE X LEMON PARTY | MED,,1 oz,28.0,114.31,114.31000000000002,Flower,False
PANCAKE BREATH | MED,,1 g,1.0,6.4,179.20000000000002,Flower,False
PANCAKE BREATH | MED,,1/8 oz,3.5,18.29,146.32,Flower,False
PANCAKE BREATH | MED,,1/4 oz,7.0,36.58,146.32,Flower,False
PANCAKE BREATH | MED,,1/2 oz,14.0,64.01,128.02,Flower,False
PANCAKE BREATH | MED,,1 oz,28.0,114.31,114.31000000000002,Flower,False
SOAP | MED,,1 g,1.0,6.4,179.20000000000002,Flower,False
SOAP | MED,,1/8 oz,3.5,18.29,146.32,Flower,False
SOAP | MED,,1/4 oz,7.0,36.58,146.32,Flower,False
SOAP | MED,,1/2 oz,14.0,64.01,128.02,Flower,False
SOAP | MED,,1 oz,28.0,114.31,114.31000000000002,Flower,False
DOUBLE SOLO BURGER,,1 g,1.0,8.23,230.44,Flower,False
DOUBLE SOLO BURGER,,1/8 oz,3.5,22.86,182.88,Flower,False
DOUBLE SOLO BURGER,,1/4 oz,7.0,45.72,182.88,Flower,False
DOUBLE SOLO BURGER,,1/2 oz,14.0,73.16,146.32,Flower,False
DOUBLE SOLO BURGER,,1 oz,28.0,137.17,137.17,Flower,False
ISLAND FACE,,1 g,1.0,8.23,230.44,Flower,False
ISLAND FACE,,1/8 oz,3.5,22.86,182.88,Flower,False
ISLAND FACE,,1/4 oz,7.0,45.72,182.88,Flower,False
ISLAND FACE,,1/2 oz,14.0,73.16,146.32,Flower,False
ISLAND FACE,,1 oz,28.0,137.17,137.17,Flower,False
JACKIE TREEHORN | MED,,1 g,1.0,8.23,230.44,Flower,False
JACKIE TREEHORN | MED,,1/8 oz,3.5,22.86,182.88,Flower,False
JACKIE TREEHORN | MED,,1/4 oz,7.0,45.72,182.88,Flower,False
JACKIE TREEHORN | MED,,1/2 oz,14.0,73.16,146.32,Flower,False
JACKIE TREEHORN | MED,,1 oz,28.0,137.17,137.17,Flower,False
