name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Animal Tsunami - CG,,1 g,1.0,6.43,180.04,Flower,False
Animal Tsunami - CG,,1.75 g,1.75,9.19,147.04,Flower,False
Animal Tsunami - CG,,56 g,56.0,87.04,43.52,Flower,False
Animal Tsunami - CG,,1/8 oz,3.5,12.87,102.96,Flower,False
Animal Tsunami - CG,,1/4 oz,7.0,20.22,80.88,Flower,False
Animal Tsunami - CG,,1/2 oz,14.0,34.93,69.86,Flower,False
Animal Tsunami - CG,,1 oz,28.0,45.81,45.81,Flower,False
Avalon - Pot Zero,,1 g,1.0,6.43,180.04,Flower,False
Avalon - Pot Zero,,1.75 g,1.75,9.19,147.04,Flower,False
Avalon - Pot Zero,,56 g,56.0,87.04,43.52,Flower,False
Avalon - Pot Zero,,1/8 oz,3.5,12.87,102.96,Flower,False
Avalon - Pot Zero,,1/4 oz,7.0,20.22,80.88,Flower,False
Avalon - Pot Zero,,1/2 oz,14.0,34.93,69.86,Flower,False
Avalon - Pot Zero,,1 oz,28.0,45.81,45.81,Flower,False
Axilla - Pot Zero,,1 g,1.0,6.43,180.04,Flower,False
Axilla - Pot Zero,,1.75 g,1.75,9.19,147.04,Flower,False
Axilla - Pot Zero,,1/8 oz,3.5,12.87,102.96,Flower,False
Axilla - Pot Zero,,1/4 oz,7.0,20.22,80.88,Flower,False
Green Crack x Soma - CG,,1 g,1.0,6.43,180.04,Flower,False
Green Crack x Soma - CG,,1.75 g,1.75,9.19,147.04,Flower,False
Green Crack x Soma - CG,,56 g,56.0,87.04,43.52,Flower,False
Green Crack x Soma - CG,,1/8 oz,3.5,12.87,102.96,Flower,False
Green Crack x Soma - CG,,1/4 oz,7.0,20.22,80.88,Flower,False
Green Crack x Soma - CG,,1/2 oz,14.0,34.93,69.86,Flower,False
Green Crack x Soma - CG,,1 oz,28.0,45.81,45.81,Flower,False
Reba #1,,1 g,1.0,6.43,180.04,Flower,False
Reba #1,,1.75 g,1.75,9.19,147.04,Flower,False
Reba #1,,56 g,56.0,87.04,43.52,Flower,False
Reba #1,,1/8 oz,3.5,12.87,102.96,Flower,False
Reba #1,,1/4 oz,7.0,20.22,80.88,Flower,False
Reba #1,,1/2 oz,14.0,34.93,69.86,Flower,False
Reba #1,,1 oz,28.0,45.81,45.81,Flower,False
Black Eyed Katy - Pot Zero,,1/8 oz,3.5,9.16,73.28,Flower,False
Cadillac Rainbow,,1/8 oz,3.5,9.16,73.28,Flower,False
Cherry Punch,,1 g,1.0,9.19,257.32,Flower,False
Cherry Punch,,1.75 g,1.75,12.87,205.92,Flower,False
Cherry Punch,,1/8 oz,3.5,18.39,147.12,Flower,False
Cherry Punch,,1/4 oz,7.0,27.57,110.28,Flower,False
Cherry Punch,,1/2 oz,14.0,45.95,91.9,Flower,False
Cherry Punch,,1 oz,28.0,82.45,82.45,Flower,False
Don Mega,,1 g,1.0,9.19,257.32,Flower,False
Don Mega,,1.75 g,1.75,12.87,205.92,Flower,False
Don Mega,,1/8 oz,3.5,18.39,147.12,Flower,False
Don Mega,,1/4 oz,7.0,27.57,110.28,Flower,False
Don Mega,,1/2 oz,14.0,45.95,91.9,Flower,False
Don Mega,,1 oz,28.0,82.45,82.45,Flower,False
Hawaiian Goat - Phoenix Farms (M),,1 g,1.0,9.19,257.32,Flower,False
Hawaiian Goat - Phoenix Farms (M),,1.75 g,1.75,12.87,205.92,Flower,False
Hawaiian Goat - Phoenix Farms (M),,1/8 oz,3.5,18.39,147.12,Flower,False
Hawaiian Goat - Phoenix Farms (M),,1/4 oz,7.0,27.57,110.28,Flower,False
Hawaiian Goat - Phoenix Farms (M),,1/2 oz,14.0,45.95,91.9,Flower,False
Hawaiian Goat - Phoenix Farms (M),,1 oz,28.0,82.45,82.45,Flower,False
Icebox Pie (M),,1 g,1.0,9.19,257.32,Flower,False
Icebox Pie (M),,1.75 g,1.75,12.87,205.92,Flower,False
Icebox Pie (M),,1/8 oz,3.5,18.39,147.12,Flower,False
Icebox Pie (M),,1/4 oz,7.0,27.57,110.28,Flower,False
Icebox Pie (M),,1/2 oz,14.0,45.95,91.9,Flower,False
Icebox Pie (M),,1 oz,28.0,82.45,82.45,Flower,False
Marsh-Mellow - Pheonix Farms (M),,1 g,1.0,9.19,257.32,Flower,False
Marsh-Mellow - Pheonix Farms (M),,1.75 g,1.75,12.87,205.92,Flower,False
Marsh-Mellow - Pheonix Farms (M),,1/8 oz,3.5,18.39,147.12,Flower,False
Marsh-Mellow - Pheonix Farms (M),,1/4 oz,7.0,27.57,110.28,Flower,False
Marsh-Mellow - Pheonix Farms (M),,1/2 oz,14.0,45.95,91.9,Flower,False
Marsh-Mellow - Pheonix Farms (M),,1 oz,28.0,82.45,82.45,Flower,False
Obama Larry,,1 g,1.0,9.19,257.32,Flower,False
Obama Larry,,1.75 g,1.75,12.87,205.92,Flower,False
Obama Larry,,1/8 oz,3.5,18.39,147.12,Flower,False
Obama Larry,,1/4 oz,7.0,27.57,110.28,Flower,False
Obama Larry,,1/2 oz,14.0,45.95,91.9,Flower,False
Obama Larry,,1 oz,28.0,82.45,82.45,Flower,False
White 99 - Phoenix Farms,,1 g,1.0,9.19,257.32,Flower,False
White 99 - Phoenix Farms,,1.75 g,1.75,12.87,205.92,Flower,False
White 99 - Phoenix Farms,,1/8 oz,3.5,18.39,147.12,Flower,False
Black Ice - The Great Ascent,,1 g,1.0,10.99,307.72,Flower,False
Black Ice - The Great Ascent,,1.75 g,1.75,16.49,263.84,Flower,False
Black Ice - The Great Ascent,,1/8 oz,3.5,27.48,219.84,Flower,False
Black Ice - The Great Ascent,,1/4 oz,7.0,54.98,219.92,Flower,False
Black Ice - The Great Ascent,,1/2 oz,14.0,73.29,146.58,Flower,False
Black Ice - The Great Ascent,,1 oz,28.0,114.52,114.52,Flower,False
Diagonal - The Great Ascent,,1 g,1.0,10.99,307.72,Flower,False
Diagonal - The Great Ascent,,1.75 g,1.75,16.49,263.84,Flower,False
Diagonal - The Great Ascent,,1/8 oz,3.5,27.48,219.84,Flower,False
Diagonal - The Great Ascent,,1/4 oz,7.0,54.98,219.92,Flower,False
Diagonal - The Great Ascent,,1/2 oz,14.0,73.29,146.58,Flower,False
Diagonal - The Great Ascent,,1 oz,28.0,114.52,114.52,Flower,False
Gasonade - The Great Ascent,,1 g,1.0,10.99,307.72,Flower,False
Gasonade - The Great Ascent,,1.75 g,1.75,16.49,263.84,Flower,False
Gasonade - The Great Ascent,,1/8 oz,3.5,27.48,219.84,Flower,False
Gasonade - The Great Ascent,,1/4 oz,7.0,54.98,219.92,Flower,False
Gasonade - The Great Ascent,,1/2 oz,14.0,73.29,146.58,Flower,False
Gasonade - The Great Ascent,,1 oz,28.0,114.52,114.52,Flower,False
Ghost Betty - The Great Ascent,,1 g,1.0,10.99,307.72,Flower,False
Ghost Betty - The Great Ascent,,1.75 g,1.75,16.49,263.84,Flower,False
Ghost Betty - The Great Ascent,,1/8 oz,3.5,27.48,219.84,Flower,False
Ghost Betty - The Great Ascent,,1/4 oz,7.0,54.98,219.92,Flower,False
Ghost Betty - The Great Ascent,,1/2 oz,14.0,73.29,146.58,Flower,False
Ghost Betty - The Great Ascent,,1 oz,28.0,114.52,114.52,Flower,False
RazzBerry Wine - The Great Ascent,,1 g,1.0,10.99,307.72,Flower,False
RazzBerry Wine - The Great Ascent,,1.75 g,1.75,16.49,263.84,Flower,False
RazzBerry Wine - The Great Ascent,,1/8 oz,3.5,27.48,219.84,Flower,False
RazzBerry Wine - The Great Ascent,,1/4 oz,7.0,54.98,219.92,Flower,False
RazzBerry Wine - The Great Ascent,,1/2 oz,14.0,73.29,146.58,Flower,False
RazzBerry Wine - The Great Ascent,,1 oz,28.0,114.52,114.52,Flower,False
Sour OG Cheese - Phoenix Farms (M),,1 g,1.0,10.99,307.72,Flower,False
Sour OG Cheese - Phoenix Farms (M),,1.75 g,1.75,16.49,263.84,Flower,False
Sour OG Cheese - Phoenix Farms (M),,1/8 oz,3.5,27.48,219.84,Flower,False
Sour OG Cheese - Phoenix Farms (M),,1/4 oz,7.0,54.98,219.92,Flower,False
Sour OG Cheese - Phoenix Farms (M),,1/2 oz,14.0,73.29,146.58,Flower,False
Sour OG Cheese - Phoenix Farms (M),,1 oz,28.0,114.52,114.52,Flower,False
Zombie Bacon - The Great Ascent (M),,1 g,1.0,10.99,307.72,Flower,False
Zombie Bacon - The Great Ascent (M),,1.75 g,1.75,16.49,263.84,Flower,False
Zombie Bacon - The Great Ascent (M),,1/8 oz,3.5,27.48,219.84,Flower,False
Zombie Bacon - The Great Ascent (M),,1/4 oz,7.0,54.98,219.92,Flower,False
Bernscotti - Cherry,,1 g,1.0,13.74,384.72,Flower,False
Bernscotti - Cherry,,112 g,112.0,274.85,68.7125,Flower,False
Bernscotti - Cherry,,224 g,224.0,549.7,68.7125,Flower,False
Bernscotti - Cherry,,1/8 oz,3.5,36.65,293.2,Flower,False
Bernscotti - Cherry,,1/4 oz,7.0,64.13,256.52,Flower,False
Bernscotti - Cherry,,1/2 oz,14.0,82.45,164.9,Flower,False
Bernscotti - Cherry,,1 oz,28.0,137.42,137.42,Flower,False
Dank Dough - Cherry,,1 g,1.0,13.74,384.72,Flower,False
Dank Dough - Cherry,,112 g,112.0,274.85,68.7125,Flower,False
Dank Dough - Cherry,,1/8 oz,3.5,36.65,293.2,Flower,False
Dank Dough - Cherry,,1/4 oz,7.0,64.13,256.52,Flower,False
Dank Dough - Cherry,,1/2 oz,14.0,82.45,164.9,Flower,False
Dank Dough - Cherry,,1 oz,28.0,137.42,137.42,Flower,False
MAC - Cherry,,1 g,1.0,13.74,384.72,Flower,False
MAC - Cherry,,112 g,112.0,274.85,68.7125,Flower,False
MAC - Cherry,,1/8 oz,3.5,36.65,293.2,Flower,False
MAC - Cherry,,1/4 oz,7.0,64.13,256.52,Flower,False
MAC - Cherry,,1/2 oz,14.0,82.45,164.9,Flower,False
MAC - Cherry,,1 oz,28.0,137.42,137.42,Flower,False
Nezquick - Cherry,,1 g,1.0,13.74,384.72,Flower,False
Nezquick - Cherry,,112 g,112.0,274.85,68.7125,Flower,False
Nezquick - Cherry,,1/8 oz,3.5,36.65,293.2,Flower,False
Nezquick - Cherry,,1/4 oz,7.0,64.13,256.52,Flower,False
Nezquick - Cherry,,1/2 oz,14.0,82.45,164.9,Flower,False
Nezquick - Cherry,,1 oz,28.0,137.42,137.42,Flower,False
Quicksand - Cherry,,1 g,1.0,13.74,384.72,Flower,False
Quicksand - Cherry,,112 g,112.0,274.85,68.7125,Flower,False
Quicksand - Cherry,,1/8 oz,3.5,36.65,293.2,Flower,False
Quicksand - Cherry,,1/4 oz,7.0,64.13,256.52,Flower,False
Quicksand - Cherry,,1/2 oz,14.0,82.45,164.9,Flower,False
Quicksand - Cherry,,1 oz,28.0,137.42,137.42,Flower,False
Rainbow Sherbert - Cherry,,1 g,1.0,13.74,384.72,Flower,False
Rainbow Sherbert - Cherry,,112 g,112.0,274.85,68.7125,Flower,False
Rainbow Sherbert - Cherry,,1/8 oz,3.5,36.65,293.2,Flower,False
Rainbow Sherbert - Cherry,,1/4 oz,7.0,64.13,256.52,Flower,False
Rainbow Sherbert - Cherry,,1/2 oz,14.0,82.45,164.9,Flower,False
Rainbow Sherbert - Cherry,,1 oz,28.0,137.42,137.42,Flower,False
