name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
MED- Apple Runtz 8th,,1/8 oz,3.5,15.0,120.0,Flower,False
MED- Cake Crasher 8th,,1/8 oz,3.5,15.0,120.0,Flower,False
MED- Cake Crasher 8th,,1/2 oz,14.0,45.0,90.0,Flower,False
MED- Cake Crasher 8th,,1 oz,28.0,95.0,95.0,Flower,False
MED- Cherry Punch 8th,,1/8 oz,3.5,15.0,120.0,Flower,False
Med- Dante's Inferno- 8th,,1/8 oz,3.5,15.0,120.0,Flower,False
MED- Jungle Pie 8th,,1/8 oz,3.5,15.0,120.0,Flower,False
MED- Toasted Strudel 8th,,1/8 oz,3.5,15.0,120.0,Flower,False
MED- Toasted Strudel 8th,,1/2 oz,14.0,45.0,90.0,Flower,False
MED- Jenny Kush 8th,,1/8 oz,3.5,20.0,160.0,Flower,False
MED- Jenny Kush 8th,,1/2 oz,14.0,65.0,130.0,Flower,False
MED- Jenny Kush 8th,,1 oz,28.0,135.0,135.0,Flower,False
MED- Mai Tai 8th,,1/8 oz,3.5,20.0,160.0,Flower,False
Med- Soap 8th,,1/8 oz,3.5,20.0,160.0,Flower,False
MED- Strawberry Pie 8th,,1/8 oz,3.5,20.0,160.0,Flower,False
MED- Cake Crasher Popcorn Oz,,1 oz,28.0,50.0,50.0,Shake/Popcorn/Trim,False
MED- Dante's Inferno #8 Full Bud oz,,1 oz,28.0,50.0,50.0,Flower,False
MED- Grease Monkey Popcorn oz,,1 oz,28.0,50.0,50.0,Shake/Popcorn/Trim,False
MED- Mai Tai Popcorn oz,,1 oz,28.0,50.0,50.0,Shake/Popcorn/Trim,False
MED- Apple Runtz Full Bud oz,,1 oz,28.0,75.0,75.0,Flower,False
MED- Grease Monkey Full Bud oz,,1 oz,28.0,75.0,75.0,Flower,False
MED- Super Boof Full Bud oz,,1 oz,28.0,75.0,75.0,Flower,False
MED- Toasted Strudel Full Bud oz,,1 oz,28.0,75.0,75.0,Flower,False
MED- Apricot Scone Full Bud oz,,1 oz,28.0,85.0,85.0,Flower,False
MED- Electrolime Full Bud oz,,1 oz,28.0,85.0,85.0,Flower,False
MED- Gelato Pop Full Bud Oz,,1 oz,28.0,85.0,85.0,Flower,False
MED- Lemon Cherry Gelato Full Bud oz,,1 oz,28.0,85.0,85.0,Flower,False
MED- Soap Full Bud Oz,,1 oz,28.0,85.0,85.0,Flower,False
MED- Strawberry Pie Full Bud oz,,1 oz,28.0,85.0,85.0,Flower,False
