name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Gasonade,,1 g,1.0,6.0,168.0,Flower,False
Gasonade,,1/8 oz,3.5,18.0,144.0,Flower,False
Gasonade,,1/4 oz,7.0,30.0,120.0,Flower,False
Gasonade,,1/2 oz,14.0,50.0,100.0,Flower,False
Gasonade,,1 oz,28.0,90.0,90.0,Flower,False
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1 g,1.0,6.0,168.0,Flower,False
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1/8 oz,3.5,18.0,144.0,Flower,False
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1/4 oz,7.0,30.0,120.0,Flower,False
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1/2 oz,14.0,50.0,100.0,Flower,False
Ice Cream Sherb - Indica - Bulk Flower - Green Street - MED,,1 oz,28.0,90.0,90.0,Flower,False
Red Tsunami,,1 g,1.0,6.0,168.0,Flower,False
Red Tsunami,,1/8 oz,3.5,18.0,144.0,Flower,False
Red Tsunami,,1/4 oz,7.0,30.0,120.0,Flower,False
Red Tsunami,,1/2 oz,14.0,50.0,100.0,Flower,False
Red Tsunami,,1 oz,28.0,90.0,90.0,Flower,False
Better Than Bubba,,1 g,1.0,8.01,224.28,Flower,False
Better Than Bubba,,1/8 oz,3.5,19.99,159.92,Flower,False
Better Than Bubba,,1/4 oz,7.0,35.0,140.0,Flower,False
Better Than Bubba,,1/2 oz,14.0,60.0,120.0,Flower,False
Better Than Bubba,,1 oz,28.0,100.01,100.01,Flower,False
Blackjack,,1 g,1.0,8.01,224.28,Flower,False
Blackjack,,1/8 oz,3.5,19.99,159.92,Flower,False
Blackjack,,1/4 oz,7.0,35.0,140.0,Flower,False
Blackjack,,1/2 oz,14.0,60.0,120.0,Flower,False
Blackjack,,1 oz,28.0,100.01,100.01,Flower,False
Free Mac,,1 g,1.0,8.01,224.28,Flower,False
Free Mac,,1/8 oz,3.5,19.99,159.92,Flower,False
Free Mac,,1/4 oz,7.0,35.0,140.0,Flower,False
Free Mac,,1/2 oz,14.0,60.0,120.0,Flower,False
Free Mac,,1 oz,28.0,100.01,100.01,Flower,False
Hindu Kush x Early Orange,,1 g,1.0,8.01,224.28,Flower,False
Hindu Kush x Early Orange,,1/8 oz,3.5,19.99,159.92,Flower,False
