name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
MED - Legacy Grown - Four Kings / Orange Tier,,1 g,1.0,1.25,35.0,Flower,False
MED - Legacy Grown - Four Kings / Orange Tier,,1/8 oz,3.5,3.75,30.0,Flower,False
MED - Legacy Grown - Four Kings / Orange Tier,,1/4 oz,7.0,7.5,30.0,Flower,False
MED - Legacy Grown - Gold Digger / Red-Tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Gold Digger / Red-Tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Legacy Grown - Gold Digger / Red-Tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Gold Digger / Red-Tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Nag Champa / Red-Tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Nag Champa / Red-Tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Legacy Grown - Nag Champa / Red-Tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Nag Champa / Red-Tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Point Break / Red tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Point Break / Red tier Popcorn,,57 g,57.0,76.34,37.500350877192986,Shake/Popcorn/Trim,False
MED - Legacy Grown - Point Break / Red tier Popcorn,,112 g,112.0,150.0,37.5,Shake/Popcorn/Trim,False
MED - Legacy Grown - Point Break / Red tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Legacy Grown - Point Break / Red tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Point Break / Red tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Point Break / Red tier Popcorn,,1 oz,28.0,40.0,40.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Satsuma Sherb #20 / Yellow Tier Buds,,1 g,1.0,2.0,56.0,Flower,False
MED - Legacy Grown - Satsuma Sherb #20 / Yellow Tier Buds,,57 g,57.0,88.92,43.68,Flower,False
MED - Legacy Grown - Satsuma Sherb #20 / Yellow Tier Buds,,1/8 oz,3.5,7.0,56.0,Flower,False
MED - Legacy Grown - Satsuma Sherb #20 / Yellow Tier Buds,,1/4 oz,7.0,13.0,52.0,Flower,False
MED - Legacy Grown - Satsuma Sherb #20 / Yellow Tier Buds,,1/2 oz,14.0,25.0,50.0,Flower,False
MED - Legacy Grown - Satsuma Sherb #20 / Yellow Tier Buds,,1 oz,28.0,50.0,50.0,Flower,False
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,57 g,57.0,76.34,37.500350877192986,Shake/Popcorn/Trim,False
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,112 g,112.0,150.0,37.5,Shake/Popcorn/Trim,False
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,1 oz,28.0,40.0,40.0,Shake/Popcorn/Trim,False
MED - Vera - Jack Herer / Red tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Vera - Jack Herer / Red tier Popcorn,,57 g,57.0,76.34,37.500350877192986,Shake/Popcorn/Trim,False
MED - Vera - Jack Herer / Red tier Popcorn,,112 g,112.0,150.0,37.5,Shake/Popcorn/Trim,False
MED - Vera - Jack Herer / Red tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Vera - Jack Herer / Red tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Vera - Jack Herer / Red tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
MED - Vera - Jack Herer / Red tier Popcorn,,1 oz,28.0,40.0,40.0,Shake/Popcorn/Trim,False
MED - Vera - Sherblaster / Red tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Vera - Sherblaster / Red tier Popcorn,,57 g,57.0,76.34,37.500350877192986,Shake/Popcorn/Trim,False
MED - Vera - Sherblaster / Red tier Popcorn,,112 g,112.0,150.0,37.5,Shake/Popcorn/Trim,False
MED - Vera - Sherblaster / Red tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Vera - Sherblaster / Red tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Vera - Sherblaster / Red tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
MED - Vera - Sherblaster / Red tier Popcorn,,1 oz,28.0,40.0,40.0,Shake/Popcorn/Trim,False
MED - Legacy Grown - Dante's Wrath / Yellow Tier,,1 g,1.0,3.0,84.0,Flower,False
MED - Legacy Grown - Dante's Wrath / Yellow Tier,,57 g,57.0,101.79,50.002105263157894,Flower,False
MED - Legacy Grown - Dante's Wrath / Yellow Tier,,112 g,112.0,200.0,50.0,Flower,False
MED - Legacy Grown - Dante's Wrath / Yellow Tier,,1/8 oz,3.5,8.0,64.0,Flower,False
MED - Legacy Grown - Dante's Wrath / Yellow Tier,,1/4 oz,7.0,15.0,60.0,Flower,False
MED - Legacy Grown - Dante's Wrath / Yellow Tier,,1/2 oz,14.0,30.0,60.0,Flower,False
MED - Legacy Grown - Dante's Wrath / Yellow Tier,,1 oz,28.0,60.0,60.0,Flower,False
MED - Legacy Grown - Gelato Cake / Yellow Tier Premium Buds,,1 g,1.0,3.0,84.0,Flower,False
MED - Legacy Grown - Gelato Cake / Yellow Tier Premium Buds,,1/8 oz,3.5,8.0,64.0,Flower,False
MED - Legacy Grown - Gelato Cake / Yellow Tier Premium Buds,,1/4 oz,7.0,15.0,60.0,Flower,False
MED - Legacy Grown - Gelato Cake / Yellow Tier Premium Buds,,1/2 oz,14.0,30.0,60.0,Flower,False
MED - Legacy Grown - Gelato Cake / Yellow Tier Premium Buds,,1 oz,28.0,60.0,60.0,Flower,False
MED - Legacy Grown - Gold Digger / Yellow Tier Premium Flower,,1 g,1.0,3.0,84.0,Flower,False
MED - Legacy Grown - Gold Digger / Yellow Tier Premium Flower,,57 g,57.0,101.79,50.002105263157894,Flower,False
MED - Legacy Grown - Gold Digger / Yellow Tier Premium Flower,,112 g,112.0,200.0,50.0,Flower,False
