name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Banana Kush Flower,,1 g,1.0,3.65,102.2,Flower,False
Banana Kush Flower,,1/8 oz,3.5,11.87,94.96,Flower,False
Banana Kush Flower,,1/4 oz,7.0,21.0,84.0,Flower,False
Banana Kush Flower,,1/2 oz,14.0,42.01,84.02,Flower,False
Banana Kush Flower,,1 oz,28.0,80.37,80.37,Flower,False
M-Space Cat-(S)-Popcorn-Natty Rems,,1 g,1.0,3.68,103.04,Shake/Popcorn/Trim,False
M-Space Cat-(S)-Popcorn-Natty Rems,,1/8 oz,3.5,11.95,95.6,Shake/Popcorn/Trim,False
M-Space Cat-(S)-Popcorn-Natty Rems,,1/4 oz,7.0,21.14,84.56,Shake/Popcorn/Trim,False
M-Space Cat-(S)-Popcorn-Natty Rems,,1/2 oz,14.0,42.28,84.56,Shake/Popcorn/Trim,False
M-Space Cat-(S)-Popcorn-Natty Rems,,1 oz,28.0,80.87,80.87,Shake/Popcorn/Trim,False
Sundae Driver Flower,,1 g,1.0,3.68,103.04,Flower,False
Sundae Driver Flower,,1/8 oz,3.5,11.95,95.6,Flower,False
Sundae Driver Flower,,1/4 oz,7.0,21.14,84.56,Flower,False
Sundae Driver Flower,,1/2 oz,14.0,42.28,84.56,Flower,False
Sundae Driver Flower,,1 oz,28.0,80.87,80.87,Flower,False
Banana Kush Flower,,1 g,1.0,5.51,154.28,Flower,False
Banana Kush Flower,,1/8 oz,3.5,16.54,132.32,Flower,False
Banana Kush Flower,,1/4 oz,7.0,30.33,121.32,Flower,False
M-Banana Punch-(I)-Bulk-Natty Rems,,1 g,1.0,5.51,154.28,Flower,False
M-Banana Punch-(I)-Bulk-Natty Rems,,1/8 oz,3.5,16.54,132.32,Flower,False
M-Banana Punch-(I)-Bulk-Natty Rems,,1/4 oz,7.0,30.33,121.32,Flower,False
M-Banana Punch-(I)-Bulk-Natty Rems,,1/2 oz,14.0,58.82,117.63999999999999,Flower,False
M-Banana Punch-(I)-Bulk-Natty Rems,,1 oz,28.0,112.12,112.12,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1 g,1.0,5.51,154.28,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/8 oz,3.5,16.54,132.32,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/4 oz,7.0,30.33,121.32,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/2 oz,14.0,58.82,117.63999999999999,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1 oz,28.0,112.12,112.12,Flower,False
M-OG Kush-(I)-Bulk-Natty Rems,,1 g,1.0,5.51,154.28,Flower,False
M-OG Kush-(I)-Bulk-Natty Rems,,1/8 oz,3.5,16.54,132.32,Flower,False
M-OG Kush-(I)-Bulk-Natty Rems,,1/4 oz,7.0,30.33,121.32,Flower,False
M-OG Kush-(I)-Bulk-Natty Rems,,1/2 oz,14.0,58.82,117.63999999999999,Flower,False
M-OG Kush-(I)-Bulk-Natty Rems,,1 oz,28.0,112.12,112.12,Flower,False
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1 g,1.0,5.51,154.28,Flower,False
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1/8 oz,3.5,16.54,132.32,Flower,False
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1/4 oz,7.0,30.33,121.32,Flower,False
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1/2 oz,14.0,58.82,117.63999999999999,Flower,False
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1 oz,28.0,112.12,112.12,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1 g,1.0,5.51,154.28,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1/8 oz,3.5,16.54,132.32,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1/4 oz,7.0,30.33,121.32,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1/2 oz,14.0,58.82,117.63999999999999,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1 oz,28.0,112.12,112.12,Flower,False
Natty Rems OG,,1 g,1.0,5.51,154.28,Flower,False
Natty Rems OG,,1/8 oz,3.5,16.54,132.32,Flower,False
Natty Rems OG,,1/4 oz,7.0,30.33,121.32,Flower,False
Natty Rems OG,,1/2 oz,14.0,58.82,117.63999999999999,Flower,False
Natty Rems OG,,1 oz,28.0,112.12,112.12,Flower,False
Sundae Driver Flower,,1 g,1.0,5.51,154.28,Flower,False
Sundae Driver Flower,,1/8 oz,3.5,16.54,132.32,Flower,False
Sundae Driver Flower,,1/4 oz,7.0,30.33,121.32,Flower,False
Sundae Driver Flower,,1/2 oz,14.0,58.82,117.63999999999999,Flower,False
Sundae Driver Flower,,1 oz,28.0,112.12,112.12,Flower,False
