name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
M-Bitter Cookies-(S)-Popcorn-Natty Rems,,1 g,1.0,0.89,24.92,Shake/Popcorn/Trim,False
M-Flo Driver-(S)-Popcorn-Natty Rems,,1 g,1.0,3.72,104.16000000000001,Shake/Popcorn/Trim,False
M-Flo Driver-(S)-Popcorn-Natty Rems,,1/8 oz,3.5,12.09,96.72,Shake/Popcorn/Trim,False
M-Flo Driver-(S)-Popcorn-Natty Rems,,1/4 oz,7.0,21.4,85.6,Shake/Popcorn/Trim,False
M-Flo Driver-(S)-Popcorn-Natty Rems,,1/2 oz,14.0,42.79,85.58,Shake/Popcorn/Trim,False
M-Flo Driver-(S)-Popcorn-Natty Rems,,1 oz,28.0,81.86,81.86,Shake/Popcorn/Trim,False
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1 g,1.0,3.72,104.16000000000001,Shake/Popcorn/Trim,False
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1/8 oz,3.5,12.09,96.72,Shake/Popcorn/Trim,False
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1/4 oz,7.0,21.4,85.6,Shake/Popcorn/Trim,False
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1/2 oz,14.0,42.79,85.58,Shake/Popcorn/Trim,False
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1 oz,28.0,81.86,81.86,Shake/Popcorn/Trim,False
M-Major Tom-(H)-Popcorn-Natty Rems,,1 g,1.0,3.72,104.16000000000001,Shake/Popcorn/Trim,False
M-Major Tom-(H)-Popcorn-Natty Rems,,1/8 oz,3.5,12.09,96.72,Shake/Popcorn/Trim,False
M-Major Tom-(H)-Popcorn-Natty Rems,,1/4 oz,7.0,21.4,85.6,Shake/Popcorn/Trim,False
M-Major Tom-(H)-Popcorn-Natty Rems,,1/2 oz,14.0,42.79,85.58,Shake/Popcorn/Trim,False
M-Major Tom-(H)-Popcorn-Natty Rems,,1 oz,28.0,81.86,81.86,Shake/Popcorn/Trim,False
M-McFlurry-(H)-Popcorn-Natty Rems,,1 g,1.0,3.72,104.16000000000001,Shake/Popcorn/Trim,False
M-McFlurry-(H)-Popcorn-Natty Rems,,1/8 oz,3.5,12.09,96.72,Shake/Popcorn/Trim,False
M-McFlurry-(H)-Popcorn-Natty Rems,,1/4 oz,7.0,21.4,85.6,Shake/Popcorn/Trim,False
M-McFlurry-(H)-Popcorn-Natty Rems,,1/2 oz,14.0,42.79,85.58,Shake/Popcorn/Trim,False
M-McFlurry-(H)-Popcorn-Natty Rems,,1 oz,28.0,81.86,81.86,Shake/Popcorn/Trim,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1 g,1.0,5.58,156.24,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/8 oz,3.5,16.74,133.92,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/4 oz,7.0,30.7,122.79999999999998,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/2 oz,14.0,59.53,119.06,Flower,False
M-Lunar Haze-(S)-Bulk-Natty Rems,,1 oz,28.0,113.49,113.49,Flower,False
M-Major Tom-(H)-Bulk-Natty Rems,,1 g,1.0,5.58,156.24,Flower,False
M-Major Tom-(H)-Bulk-Natty Rems,,1/8 oz,3.5,16.74,133.92,Flower,False
M-Major Tom-(H)-Bulk-Natty Rems,,1/4 oz,7.0,30.7,122.79999999999998,Flower,False
M-Major Tom-(H)-Bulk-Natty Rems,,1/2 oz,14.0,59.53,119.06,Flower,False
M-Major Tom-(H)-Bulk-Natty Rems,,1 oz,28.0,113.49,113.49,Flower,False
M-McFlurry-(H)-Bulk-Natty Rems,,1 g,1.0,5.58,156.24,Flower,False
M-McFlurry-(H)-Bulk-Natty Rems,,1/8 oz,3.5,16.74,133.92,Flower,False
M-McFlurry-(H)-Bulk-Natty Rems,,1/4 oz,7.0,30.7,122.79999999999998,Flower,False
M-McFlurry-(H)-Bulk-Natty Rems,,1/2 oz,14.0,59.53,119.06,Flower,False
M-McFlurry-(H)-Bulk-Natty Rems,,1 oz,28.0,113.49,113.49,Flower,False
M-Shawshank-(H)-Bulk-Natty Rems,,1 g,1.0,5.58,156.24,Flower,False
M-Shawshank-(H)-Bulk-Natty Rems,,1/8 oz,3.5,16.74,133.92,Flower,False
M-Shawshank-(H)-Bulk-Natty Rems,,1/4 oz,7.0,30.7,122.79999999999998,Flower,False
M-Shawshank-(H)-Bulk-Natty Rems,,1/2 oz,14.0,59.53,119.06,Flower,False
M-Shawshank-(H)-Bulk-Natty Rems,,1 oz,28.0,113.49,113.49,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1 g,1.0,5.58,156.24,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1/8 oz,3.5,16.74,133.92,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1/4 oz,7.0,30.7,122.79999999999998,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1/2 oz,14.0,59.53,119.06,Flower,False
M-Slowpoke-(I)-Bulk-Natty Rems,,1 oz,28.0,113.49,113.49,Flower,False
M-Space Cat-(S)-Bulk-Natty Rems,,1 g,1.0,5.58,156.24,Flower,False
M-Space Cat-(S)-Bulk-Natty Rems,,1/8 oz,3.5,16.74,133.92,Flower,False
M-Space Cat-(S)-Bulk-Natty Rems,,1/4 oz,7.0,30.7,122.79999999999998,Flower,False
