name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Magic City Cannabis (In House) - Fried Strawberry Shake,,1 g,1.0,1.3,36.4,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Fried Strawberry Shake,,1/8 oz,3.5,4.5,36.0,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Fried Strawberry Shake,,1/4 oz,7.0,7.05,28.2,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Fried Strawberry Shake,,1/2 oz,14.0,10.1,20.2,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Fried Strawberry Shake,,1 oz,28.0,20.21,20.21,Shake/Popcorn/Trim,False
Magic City Cannabis - Joint (Shake) (Deli Style) Fried Strawberry .6g,,3/5 g,0.6,1.58,73.73333333333335,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Keanu Reeves Shake,,1 g,1.0,1.65,46.199999999999996,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Keanu Reeves Shake,,1/8 oz,3.5,5.79,46.32,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Keanu Reeves Shake,,1/4 oz,7.0,9.58,38.32,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Keanu Reeves Shake,,1/2 oz,14.0,15.16,30.320000000000004,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Keanu Reeves Shake,,1 oz,28.0,30.32,30.320000000000004,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Key Lime Pie Shake,,1 g,1.0,1.65,46.199999999999996,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Key Lime Pie Shake,,1/8 oz,3.5,5.79,46.32,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Key Lime Pie Shake,,1/4 oz,7.0,9.58,38.32,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Key Lime Pie Shake,,1/2 oz,14.0,15.16,30.320000000000004,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Key Lime Pie Shake,,1 oz,28.0,30.32,30.320000000000004,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Permanent Marker Shake,,1 g,1.0,1.65,46.199999999999996,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Permanent Marker Shake,,1/8 oz,3.5,5.79,46.32,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Permanent Marker Shake,,1/4 oz,7.0,9.58,38.32,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Permanent Marker Shake,,1/2 oz,14.0,15.16,30.320000000000004,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Permanent Marker Shake,,1 oz,28.0,30.32,30.320000000000004,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Dirty Taxi Shake,,1 g,1.0,1.81,50.68,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Dirty Taxi Shake,,1/8 oz,3.5,6.36,50.88,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Dirty Taxi Shake,,1/4 oz,7.0,10.73,42.92,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Dirty Taxi Shake,,1/2 oz,14.0,17.46,34.92,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Dirty Taxi Shake,,1 oz,28.0,34.91,34.91,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Gelato Cake Shake,,1 g,1.0,1.81,50.68,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Gelato Cake Shake,,1/8 oz,3.5,6.36,50.88,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Gelato Cake Shake,,1/4 oz,7.0,10.73,42.92,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Gelato Cake Shake,,1/2 oz,14.0,17.46,34.92,Shake/Popcorn/Trim,False
Magic City Cannabis (In House) - Gelato Cake Shake,,1 oz,28.0,34.91,34.91,Shake/Popcorn/Trim,False
