name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
(Med) Everbloom - Blue Dream,,1 g,1.0,3.67,102.75999999999999,Flower,False
(Med) Everbloom - Blue Dream,,1/8 oz,3.5,7.35,58.800000000000004,Flower,False
(Med) Everbloom - Blue Dream,,1/4 oz,7.0,14.7,58.800000000000004,Flower,False
(Med) Everbloom - Blue Dream,,1/2 oz,14.0,27.56,55.12,Flower,False
(MED) Golden Meds Flower,,1 g,1.0,3.67,102.75999999999999,Flower,False
(MED) Golden Meds Flower,,1/8 oz,3.5,7.35,58.800000000000004,Flower,False
(MED) Golden Meds Flower,,1/4 oz,7.0,14.7,58.800000000000004,Flower,False
(MED) Golden Meds Flower,,1/2 oz,14.0,27.56,55.12,Flower,False
Golden Meds Grow - Snoop's Zauce,,1 g,1.0,3.67,102.75999999999999,Flower,False
Golden Meds Grow - Snoop's Zauce,,56 g,56.0,74.0,37.0,Flower,False
Golden Meds Grow - Snoop's Zauce,,1/8 oz,3.5,7.35,58.800000000000004,Flower,False
Golden Meds Grow - Snoop's Zauce,,1/4 oz,7.0,14.7,58.800000000000004,Flower,False
Magic City - The Soap,,1 g,1.0,3.67,102.75999999999999,Flower,False
Magic City - The Soap,,1/8 oz,3.5,7.35,58.800000000000004,Flower,False
(Med) A Cut Above - Apples & Bananas,,1 g,1.0,4.6,128.79999999999998,Flower,False
(Med) A Cut Above - Apples & Bananas,,1/8 oz,3.5,9.19,73.52,Flower,False
(MED) A Cut Above - Flower Bulk -,,1 g,1.0,4.6,128.79999999999998,Flower,False
(MED) A Cut Above - Flower Bulk -,,1/8 oz,3.5,9.19,73.52,Flower,False
(MED) A Cut Above - Flower Bulk -,,1/4 oz,7.0,18.39,73.56,Flower,False
(MED) A Cut Above - Flower Bulk -,,1/2 oz,14.0,36.75,73.5,Flower,False
(MED) A Cut Above - Flower Bulk -,,1 oz,28.0,73.52,73.52,Flower,False
(Med) A Cut Above - Swamp Water Fumez,,1 g,1.0,4.6,128.79999999999998,Flower,False
(Med) A Cut Above - Swamp Water Fumez,,1/8 oz,3.5,9.19,73.52,Flower,False
(Med) A Cut Above - Swamp Water Fumez,,1/4 oz,7.0,18.39,73.56,Flower,False
(Med) Bloom - Gelonade,,1 g,1.0,4.6,128.79999999999998,Flower,False
(Med) Bloom - Gelonade,,1/8 oz,3.5,9.19,73.52,Flower,False
(Med) Bloom - Gelonade,,1/4 oz,7.0,18.39,73.56,Flower,False
(MED) Egozi - Bulk - Flower,,1 g,1.0,4.6,128.79999999999998,Flower,False
(Med) Everbloom - Golden Goat,,1 g,1.0,4.6,128.79999999999998,Flower,False
(Med) Everbloom - Golden Goat,,1/8 oz,3.5,9.19,73.52,Flower,False
(MED) Magic City Bulk Flower,,1 g,1.0,4.6,128.79999999999998,Flower,False
(Med) NezQuick,,1 g,1.0,4.6,128.79999999999998,Flower,False
(Med) NezQuick,,1/8 oz,3.5,9.19,73.52,Flower,False
(Med) NezQuick,,1/4 oz,7.0,18.39,73.56,Flower,False
Candy Fumez (Zkittlez x Sherbanger) - Slow Cured Flower - 23.19%,,1 g,1.0,4.6,128.79999999999998,Flower,False
Egozi - Bulk Flower -,,1 g,1.0,4.6,128.79999999999998,Flower,False
Egozi - Bulk Flower -,,1/8 oz,3.5,9.19,73.52,Flower,False
Egozi - Bulk Flower -,,1/4 oz,7.0,18.39,73.56,Flower,False
(MED) Cherry - Kameleons - Super Platinum Lime Cherry Gelato - 3 PK,,2.4 g,2.4,8.25,96.25,Flower,False
GMG - Shake -,,1/2 oz,14.0,11.03,22.06,Shake/Popcorn/Trim,False
BLM F.A.F.O. + SFV OG Live Resin Roll (5x.5g) Pack,,2.5 g,2.5,38.5,431.2,Flower,True
