name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
MED - Generations Garden - Bubba Gum / Orange-Tier Buds,,1 g,1.0,1.0,28.0,Flower,False
"MED - Legacy Grown - Four Kings / ""Seeded"" Tier Buds",,1 g,1.0,1.0,28.0,Flower,False
MED - Long Gone Farms - Mystery Machine / Red-Tier Popcorn (Copy),,1 g,1.0,1.0,28.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Ca*dy Fumez / Red-Tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Ca*dy Fumez / Red-Tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Boulder Built - Ca*dy Fumez / Red-Tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Ca*dy Fumez / Red-Tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,57 g,57.0,76.34,37.500350877192986,Shake/Popcorn/Trim,False
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,112 g,112.0,150.0,37.5,Shake/Popcorn/Trim,False
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Habanero Peaches / Red-Tier Popcorn,,1 oz,28.0,40.0,40.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Sudz (Soap x Devil Driver) / Red -Tier Popcorn,,1 g,1.0,2.0,56.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Sudz (Soap x Devil Driver) / Red -Tier Popcorn,,57 g,57.0,76.34,37.500350877192986,Shake/Popcorn/Trim,False
MED - Boulder Built - Sudz (Soap x Devil Driver) / Red -Tier Popcorn,,112 g,112.0,150.0,37.5,Shake/Popcorn/Trim,False
MED - Boulder Built - Sudz (Soap x Devil Driver) / Red -Tier Popcorn,,1/8 oz,3.5,5.01,40.08,Shake/Popcorn/Trim,False
MED - Boulder Built - Sudz (Soap x Devil Driver) / Red -Tier Popcorn,,1/4 oz,7.0,10.0,40.0,Shake/Popcorn/Trim,False
MED - Boulder Built - Sudz (Soap x Devil Driver) / Red -Tier Popcorn,,1/2 oz,14.0,20.0,40.0,Shake/Popcorn/Trim,False
