name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
MED | GARY PAYTON RUNTZ,,1 g,1.0,5.0,140.0,Flower,False
MED | GARY PAYTON RUNTZ,,1/8 oz,3.5,12.0,96.0,Flower,False
MED | GARY PAYTON RUNTZ,,1/4 oz,7.0,20.0,80.0,Flower,False
MED | GARY PAYTON RUNTZ,,1/2 oz,14.0,30.0,60.0,Flower,False
MED | GARY PAYTON RUNTZ,,1 oz,28.0,50.0,50.0,Flower,False
MED | ORANGE STARBURST,,1 g,1.0,5.0,140.0,Flower,False
MED | BANANA PANCAKES,,1 g,1.0,6.0,168.0,Flower,False
MED | BANANA PANCAKES,,1/8 oz,3.5,15.0,120.0,Flower,False
MED | BANANA PANCAKES,,1/4 oz,7.0,25.0,100.0,Flower,False
MED | BANANA PANCAKES,,1/2 oz,14.0,35.0,70.0,Flower,False
MED | BANANA PANCAKES,,1 oz,28.0,60.0,60.0,Flower,False
MED | CHERRY PALOMA,,1 g,1.0,6.0,168.0,Flower,False
MED | CHERRY PALOMA,,1/8 oz,3.5,15.0,120.0,Flower,False
MED | CHERRY PALOMA,,1/4 oz,7.0,25.0,100.0,Flower,False
MED | CHERRY PALOMA,,1/2 oz,14.0,35.0,70.0,Flower,False
MED | CHERRY PALOMA,,1 oz,28.0,60.0,60.0,Flower,False
MED | GG4,,1 g,1.0,6.0,168.0,Flower,False
MED | GG4,,1/8 oz,3.5,15.0,120.0,Flower,False
MED | GG4,,1/4 oz,7.0,25.0,100.0,Flower,False
MED | GG4,,1/2 oz,14.0,35.0,70.0,Flower,False
MED | GG4,,1 oz,28.0,60.0,60.0,Flower,False
MED | PAPAYA GUSHERS,,1 g,1.0,6.0,168.0,Flower,False
MED | PAPAYA GUSHERS,,1/8 oz,3.5,15.0,120.0,Flower,False
MED | PAPAYA GUSHERS,,1/4 oz,7.0,25.0,100.0,Flower,False
MED | PAPAYA GUSHERS,,1/2 oz,14.0,35.0,70.0,Flower,False
MED | PAPAYA GUSHERS,,1 oz,28.0,60.0,60.0,Flower,False
MED | WAFFLES,,1 g,1.0,6.0,168.0,Flower,False
MED | WAFFLES,,1/8 oz,3.5,15.0,120.0,Flower,False
MED | WAFFLES,,1/4 oz,7.0,25.0,100.0,Flower,False
MED | WAFFLES,,1/2 oz,14.0,35.0,70.0,Flower,False
MED | WAFFLES,,1 oz,28.0,60.0,60.0,Flower,False
MED | BLUE DREAM,,1 g,1.0,8.0,224.0,Flower,False
MED | BLUE DREAM,,1/8 oz,3.5,20.0,160.0,Flower,False
MED | BLUE DREAM,,1/4 oz,7.0,30.0,120.0,Flower,False
MED | BLUE DREAM,,1/2 oz,14.0,45.0,90.0,Flower,False
MED | BLUE DREAM,,1 oz,28.0,80.0,80.0,Flower,False
MED | COOKIES AND CREAM,,1 g,1.0,8.0,224.0,Flower,False
MED | COOKIES AND CREAM,,1/8 oz,3.5,20.0,160.0,Flower,False
MED | COOKIES AND CREAM,,1/4 oz,7.0,30.0,120.0,Flower,False
MED | COOKIES AND CREAM,,1/2 oz,14.0,45.0,90.0,Flower,False
MED | COOKIES AND CREAM,,1 oz,28.0,80.0,80.0,Flower,False
MED | DEVIL'S DELIGHT,,1 g,1.0,8.0,224.0,Flower,False
MED | DEVIL'S DELIGHT,,1/8 oz,3.5,20.0,160.0,Flower,False
MED | DEVIL'S DELIGHT,,1/4 oz,7.0,30.0,120.0,Flower,False
MED | DEVIL'S DELIGHT,,1/2 oz,14.0,45.0,90.0,Flower,False
MED | DEVIL'S DELIGHT,,1 oz,28.0,80.0,80.0,Flower,False
MED | DURBAN POISON,,1 g,1.0,8.0,224.0,Flower,False
MED | DURBAN POISON,,1/8 oz,3.5,20.0,160.0,Flower,False
MED | DURBAN POISON,,1/4 oz,7.0,30.0,120.0,Flower,False
MED | DURBAN POISON,,1/2 oz,14.0,45.0,90.0,Flower,False
MED | DURBAN POISON,,1 oz,28.0,80.0,80.0,Flower,False
MED | GELATO RUNTZ,,1 g,1.0,8.0,224.0,Flower,False
MED | GELATO RUNTZ,,1/8 oz,3.5,20.0,160.0,Flower,False
MED | GELATO RUNTZ,,1/4 oz,7.0,30.0,120.0,Flower,False
MED | GELATO RUNTZ,,1/2 oz,14.0,45.0,90.0,Flower,False
MED | GELATO RUNTZ,,1 oz,28.0,80.0,80.0,Flower,False
MED | GRAPE CREAM CAKE,,1 g,1.0,8.0,224.0,Flower,False
MED | GRAPE CREAM CAKE,,1/8 oz,3.5,20.0,160.0,Flower,False
MED | GRAPE CREAM CAKE,,1/4 oz,7.0,30.0,120.0,Flower,False
MED | GRAPE CREAM CAKE,,1/2 oz,14.0,45.0,90.0,Flower,False
MED | GRAPE CREAM CAKE,,1 oz,28.0,80.0,80.0,Flower,False
MED | PINK RUNTZ,,1 g,1.0,8.0,224.0,Flower,False
MED | PINK RUNTZ,,1/8 oz,3.5,20.0,160.0,Flower,False
MED | PINK RUNTZ,,1/4 oz,7.0,30.0,120.0,Flower,False
MED | PINK RUNTZ,,1/2 oz,14.0,45.0,90.0,Flower,False
MED | PINK RUNTZ,,1 oz,28.0,80.0,80.0,Flower,False
MED | PUNCH BREATH,,1 g,1.0,8.0,224.0,Flower,False
MED | PUNCH BREATH,,1/8 oz,3.5,20.0,160.0,Flower,False
MED | PUNCH BREATH,,1/4 oz,7.0,30.0,120.0,Flower,False
