name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
MED Herbal Cure Black Ice,,1 g,1.0,2.0,56.0,Flower,False
MED Herbal Cure Farmer's Daughter,,1 g,1.0,2.0,56.0,Flower,False
MED Herbal Cure Rainbow Zangria,,1 g,1.0,2.0,56.0,Flower,False
MED Herbal Cure Slurms MacKenzie,,1 g,1.0,2.0,56.0,Flower,False
MED Herbal Cure Zmuckers,,1 g,1.0,2.0,56.0,Flower,False
MED Herbal Cure Dulce De Pledge,,1 g,1.0,5.5,154.0,Flower,False
MED Herbal Cure Dulce De Pledge,,1/8 oz,3.5,13.0,104.0,Flower,False
MED Herbal Cure Dulce De Pledge,,1/4 oz,7.0,26.0,104.0,Flower,False
MED Herbal Cure Dulce De Pledge,,1/2 oz,14.0,45.0,90.0,Flower,False
MED Herbal Cure Free Mac,,1 g,1.0,5.5,154.0,Flower,False
MED Herbal Cure Free Mac,,1/8 oz,3.5,13.0,104.0,Flower,False
MED Herbal Cure Free Mac,,1/4 oz,7.0,26.0,104.0,Flower,False
MED Herbal Cure Free Mac,,1/2 oz,14.0,45.0,90.0,Flower,False
MED Herbal Cure Free Mac,,1 oz,28.0,60.0,60.0,Flower,False
MED Herbal Cure Orange Fizz,,1 g,1.0,5.5,154.0,Flower,False
MED Herbal Cure Orange Fizz,,1/8 oz,3.5,13.0,104.0,Flower,False
MED Herbal Cure Orange Fizz,,1/4 oz,7.0,26.0,104.0,Flower,False
MED Herbal Cure Orange Fizz,,1/2 oz,14.0,45.0,90.0,Flower,False
MED Herbal Cure Orange Fizz,,1 oz,28.0,60.0,60.0,Flower,False
MED Herbal Cure Rainbow Wizard,,1 g,1.0,5.5,154.0,Flower,False
MED Herbal Cure Rainbow Wizard,,1/8 oz,3.5,13.0,104.0,Flower,False
MED Herbal Cure Rainbow Wizard,,1/4 oz,7.0,26.0,104.0,Flower,False
MED Herbal Cure Rainbow Wizard,,1/2 oz,14.0,45.0,90.0,Flower,False
MED Herbal Cure Rainbow Wizard,,1 oz,28.0,60.0,60.0,Flower,False
MED Herbal Cure Rizz Patrol,,1 g,1.0,5.5,154.0,Flower,False
MED Herbal Cure Rizz Patrol,,1/8 oz,3.5,13.0,104.0,Flower,False
MED Herbal Cure Rizz Patrol,,1/4 oz,7.0,26.0,104.0,Flower,False
MED Herbal Cure Rizz Patrol,,1/2 oz,14.0,45.0,90.0,Flower,False
MED Herbal Cure Rizz Patrol,,1 oz,28.0,60.0,60.0,Flower,False
MED Herbal Cure Tropical Fusion,,1 g,1.0,5.5,154.0,Flower,False
MED Herbal Cure Tropical Fusion,,1/8 oz,3.5,13.0,104.0,Flower,False
MED Herbal Cure Tropical Fusion,,1/4 oz,7.0,26.0,104.0,Flower,False
MED Herbal Cure Tropical Fusion,,1/2 oz,14.0,45.0,90.0,Flower,False
MED Herbal Cure Tropical Fusion,,1 oz,28.0,60.0,60.0,Flower,False
MED Herbal Cure Bellz N' Whistlez,,1 g,1.0,7.0,196.0,Flower,False
MED Herbal Cure Bellz N' Whistlez,,1/8 oz,3.5,20.0,160.0,Flower,False
MED Herbal Cure Bellz N' Whistlez,,1/4 oz,7.0,40.0,160.0,Flower,False
MED Herbal Cure Bellz N' Whistlez,,1/2 oz,14.0,65.0,130.0,Flower,False
MED Herbal Cure Bellz N' Whistlez,,1 oz,28.0,90.0,90.0,Flower,False
MED Herbal Cure GMO x ICC,,1 g,1.0,7.0,196.0,Flower,False
MED Herbal Cure GMO x ICC,,1/8 oz,3.5,20.0,160.0,Flower,False
MED Herbal Cure GMO x ICC,,1/4 oz,7.0,40.0,160.0,Flower,False
MED Herbal Cure GMO x ICC,,1/2 oz,14.0,65.0,130.0,Flower,False
MED Herbal Cure GMO x ICC,,1 oz,28.0,90.0,90.0,Flower,False
MED Herbal Cure Spritzer,,1 g,1.0,7.0,196.0,Flower,False
MED Herbal Cure Spritzer,,1/8 oz,3.5,20.0,160.0,Flower,False
MED Herbal Cure Spritzer,,1/4 oz,7.0,40.0,160.0,Flower,False
MED Herbal Cure Spritzer,,1/2 oz,14.0,65.0,130.0,Flower,False
MED Herbal Cure Spritzer,,1 oz,28.0,90.0,90.0,Flower,False
MED Herbal Cure Yerb Breath 2.0,,1 g,1.0,7.0,196.0,Flower,False
MED Herbal Cure Yerb Breath 2.0,,1/8 oz,3.5,20.0,160.0,Flower,False
MED Herbal Cure Yerb Breath 2.0,,1/4 oz,7.0,40.0,160.0,Flower,False
MED Herbal Cure Yerb Breath 2.0,,1/2 oz,14.0,65.0,130.0,Flower,False
MED Herbal Cure Yerb Breath 2.0,,1 oz,28.0,90.0,90.0,Flower,False
MED Billo Caps Frozen Lemons,,1 g,1.0,10.0,280.0,Flower,False
