name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Buds/Orange Zittles,,1 g,1.0,1.15,32.199999999999996,Flower,False
Buds/Orange Zittles,,1/8 oz,3.5,4.02,32.16,Flower,False
Buds/Orange Zittles,,1/4 oz,7.0,8.04,32.16,Flower,False
Buds/Orange Zittles,,1/2 oz,14.0,16.08,32.16,Flower,False
Buds/Orange Zittles,,1 oz,28.0,36.8,36.8,Flower,False
Buds/Tropicana Banana MED,,1 g,1.0,1.15,32.199999999999996,Flower,False
Buds/Tropicana Banana MED,,1/8 oz,3.5,4.02,32.16,Flower,False
Buds/Tropicana Banana MED,,1/4 oz,7.0,8.04,32.16,Flower,False
Buds/Tropicana Banana MED,,1/2 oz,14.0,16.08,32.16,Flower,False
Buds/Tropicana Banana MED,,1 oz,28.0,36.8,36.8,Flower,False
Med Buds/Freeworld Miracle,,1 g,1.0,1.15,32.199999999999996,Flower,False
Med Buds/Freeworld Miracle,,1/8 oz,3.5,4.02,32.16,Flower,False
Med Buds/Freeworld Miracle,,1/4 oz,7.0,8.04,32.16,Flower,False
Med Buds/Freeworld Miracle,,1/2 oz,14.0,16.08,32.16,Flower,False
Med Buds/Freeworld Miracle,,1 oz,28.0,36.8,36.8,Flower,False
Med Buds/Mac #1,,1 g,1.0,1.15,32.199999999999996,Flower,False
Med Buds/Mac #1,,1/8 oz,3.5,4.02,32.16,Flower,False
Med Buds/Mac #1,,1/4 oz,7.0,8.04,32.16,Flower,False
Med Buds/Mac #1,,1/2 oz,14.0,16.08,32.16,Flower,False
Med Buds/Mac #1,,1 oz,28.0,36.8,36.8,Flower,False
MED Buds/Uberwensch,,1 g,1.0,1.15,32.199999999999996,Flower,False
MED Buds/Uberwensch,,1/8 oz,3.5,4.02,32.16,Flower,False
MED Buds/Uberwensch,,1/4 oz,7.0,8.04,32.16,Flower,False
MED Buds/Uberwensch,,1/2 oz,14.0,16.08,32.16,Flower,False
MED Buds/Uberwensch,,1 oz,28.0,36.8,36.8,Flower,False
MED Buds/White Kandy,,1 g,1.0,1.15,32.199999999999996,Flower,False
MED Buds/White Kandy,,1/8 oz,3.5,4.02,32.16,Flower,False
MED Buds/White Kandy,,1/4 oz,7.0,8.04,32.16,Flower,False
MED Buds/White Kandy,,1/2 oz,14.0,16.08,32.16,Flower,False
MED Buds/White Kandy,,1 oz,28.0,36.8,36.8,Flower,False
Med Popcorn/Black Ice,,1 g,1.0,1.15,32.199999999999996,Shake/Popcorn/Trim,False
Med Popcorn/Black Ice,,1/8 oz,3.5,4.02,32.16,Shake/Popcorn/Trim,False
Med Popcorn/Black Ice,,1/4 oz,7.0,8.04,32.16,Shake/Popcorn/Trim,False
Med Popcorn/Black Ice,,1/2 oz,14.0,16.08,32.16,Shake/Popcorn/Trim,False
Med Popcorn/Black Ice,,1 oz,28.0,36.8,36.8,Shake/Popcorn/Trim,False
MED Popcorn/Coolio,,1 g,1.0,1.15,32.199999999999996,Shake/Popcorn/Trim,False
