name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Cherry Kush Mints OZ SPECIAL,,1 oz,91.61,28.0,91.61,Flower,False,False,
Papaya 85 OZ SPECIAL,,1 oz,91.61,28.0,91.61,Flower,False,False,
Trop Cherry - $30 1/4 Oz SPECIAL - $30 1/4 Oz SPECIAL,,1/4 oz,27.48,7.0,109.92,Flower,False,False,
SherBurger - $30 1/4 Oz SPECIAL,,1/4 oz,27.48,7.0,109.92,Flower,False,False,
Papaya 85 1/4 OZ SHAKE,,1/4 oz,27.48,7.0,109.92,Shake/Popcorn/Trim,False,,
Blue Dream CLASSIC,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Drunken Strawberries Classic,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Black Cherry Cheesecake Classic,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Orange Cream #26 Classic,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Pink Pez CLASSIC,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Orange Herijuana CLASSIC,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
So F'n Gassy CLASSIC,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Falcon-9 Classic,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Divine Kush Breath CLASSIC,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Bubbawhip Classic,,1 oz,138.49,28.0,138.49,Flower,False,True,"abs<144,stem_outlier"
Divine Kush Breath CLASSIC,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Orange Herijuana CLASSIC,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Bubbawhip Classic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Orange Cream #26 Classic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Pink Pez CLASSIC,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
So F'n Gassy CLASSIC,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Cherry Apple Fritter - Exotic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Fight Club - Exotic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Coco Chanel - Exotic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Falcon-9 Classic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Drunken Strawberries Classic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Primetime - Exotic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Wild Space Ape - Exotic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Mookie B - Exotic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Fire Crotch - Exotic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Blue Dream CLASSIC,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Black Cherry Cheesecake Classic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Suge White - Exotic,,1/2 oz,92.3,14.0,184.6,Flower,False,False,
Colorado Chronic - Mookie B - Exotic,,1 oz,184.66,28.0,184.66,Flower,False,False,
Colorado Chronic - Coco Chanel - Exotic,,1 oz,184.66,28.0,184.66,Flower,False,False,
Colorado Chronic - Fire Crotch - Exotic,,1 oz,184.66,28.0,184.66,Flower,False,False,
Colorado Chronic - Primetime - Exotic,,1 oz,184.66,28.0,184.66,Flower,False,False,
Colorado Chronic - Fight Club - Exotic,,1 oz,184.66,28.0,184.66,Flower,False,False,
Colorado Chronic - Wild Space Ape - Exotic,,1 oz,184.66,28.0,184.66,Flower,False,False,
Colorado Chronic - Suge White - Exotic,,1 oz,184.66,28.0,184.66,Flower,False,False,
Colorado Chronic - Cherry Apple Fritter - Exotic,,1 oz,184.66,28.0,184.66,Flower,False,False,
Orange Cream #26 Classic,,1/4 oz,55.4,7.0,221.6,Flower,False,False,
Colorado Chronic - Cherry Apple Fritter - Exotic,,1/4 oz,55.4,7.0,221.6,Flower,False,False,
Orange Herijuana CLASSIC,,1/4 oz,55.4,7.0,221.6,Flower,False,False,
Falcon-9 Classic,,1/8 oz,27.7,3.5,221.6,Flower,False,False,
Drunken Strawberries Classic,,1/8 oz,27.7,3.5,221.6,Flower,False,False,
Drunken Strawberries Classic,,1/4 oz,55.4,7.0,221.6,Flower,False,False,
Orange Cream #26 Classic,,1/8 oz,27.7,3.5,221.6,Flower,False,False,
Colorado Chronic - Coco Chanel - Exotic,,1/4 oz,55.4,7.0,221.6,Flower,False,False,
Colorado Chronic - Coco Chanel - Exotic,,1/8 oz,27.7,3.5,221.6,Flower,False,False,
