name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
EMERGEN-C | MED,,1 oz,114.31,28.0,114.31000000000002,Flower,False,False,
LEMON TREE X LEMON PARTY | MED,,1 oz,114.31,28.0,114.31000000000002,Flower,False,False,
PANCAKE BREATH | MED,,1 oz,114.31,28.0,114.31000000000002,Flower,False,False,
SOAP | MED,,1 oz,114.31,28.0,114.31000000000002,Flower,False,False,
LEMON TREE X LEMON PARTY | MED,,1/2 oz,64.01,14.0,128.02,Flower,False,False,
PANCAKE BREATH | MED,,1/2 oz,64.01,14.0,128.02,Flower,False,False,
SOAP | MED,,1/2 oz,64.01,14.0,128.02,Flower,False,False,
EMERGEN-C | MED,,1/2 oz,64.01,14.0,128.02,Flower,False,False,
DOUBLE SOLO BURGER,,1 oz,137.17,28.0,137.17,Flower,False,False,
ISLAND FACE,,1 oz,137.17,28.0,137.17,Flower,False,False,
JACKIE TREEHORN | MED,,1 oz,137.17,28.0,137.17,Flower,False,False,
LEMON TREE X LEMON PARTY | MED,,1/8 oz,18.29,3.5,146.32,Flower,False,False,
PANCAKE BREATH | MED,,1/4 oz,36.58,7.0,146.32,Flower,False,False,
PANCAKE BREATH | MED,,1/8 oz,18.29,3.5,146.32,Flower,False,False,
EMERGEN-C | MED,,1/4 oz,36.58,7.0,146.32,Flower,False,False,
LEMON TREE X LEMON PARTY | MED,,1/4 oz,36.58,7.0,146.32,Flower,False,False,
DOUBLE SOLO BURGER,,1/2 oz,73.16,14.0,146.32,Flower,False,False,
ISLAND FACE,,1/2 oz,73.16,14.0,146.32,Flower,False,False,
SOAP | MED,,1/4 oz,36.58,7.0,146.32,Flower,False,False,
SOAP | MED,,1/8 oz,18.29,3.5,146.32,Flower,False,False,
JACKIE TREEHORN | MED,,1/2 oz,73.16,14.0,146.32,Flower,False,False,
EMERGEN-C | MED,,1/8 oz,18.29,3.5,146.32,Flower,False,False,
SOAP | MED,,1 g,6.4,1.0,179.20000000000002,Flower,False,False,
PANCAKE BREATH | MED,,1 g,6.4,1.0,179.20000000000002,Flower,False,False,
EMERGEN-C | MED,,1 g,6.4,1.0,179.20000000000002,Flower,False,False,
LEMON TREE X LEMON PARTY | MED,,1 g,6.4,1.0,179.20000000000002,Flower,False,False,
JACKIE TREEHORN | MED,,1/8 oz,22.86,3.5,182.88,Flower,False,False,
DOUBLE SOLO BURGER,,1/4 oz,45.72,7.0,182.88,Flower,False,False,
ISLAND FACE,,1/4 oz,45.72,7.0,182.88,Flower,False,False,
JACKIE TREEHORN | MED,,1/4 oz,45.72,7.0,182.88,Flower,False,False,
DOUBLE SOLO BURGER,,1/8 oz,22.86,3.5,182.88,Flower,False,False,
ISLAND FACE,,1/8 oz,22.86,3.5,182.88,Flower,False,False,
JACKIE TREEHORN | MED,,1 g,8.23,1.0,230.44,Flower,False,False,
ISLAND FACE,,1 g,8.23,1.0,230.44,Flower,False,False,
DOUBLE SOLO BURGER,,1 g,8.23,1.0,230.44,Flower,False,False,
