name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Tropicana Cherries- Green Pharm- MED,,1 oz,63.41,28.0,63.41,Flower,False,True,"abs<96,stem_outlier"
Cherry Punch Buds - MED,,1 oz,72.6,28.0,72.6,Flower,False,False,
Tropicana Cherries- Green Pharm- MED,,1/2 oz,36.76,14.0,73.52,Flower,False,False,
Cherry Punch Buds - MED,,1/2 oz,41.36,14.0,82.72,Flower,False,False,
Fire Crotch- Green Pharm- MED,,1 oz,91.9,28.0,91.9,Flower,False,False,
Ice Cream Cake- Green Pharm- MED,,1 oz,91.9,28.0,91.9,Flower,False,False,
Permanent Marker- Green Pharm- MED,,1 oz,91.9,28.0,91.9,Flower,False,False,
Tropicana Cherries- Green Pharm- MED,,1/4 oz,22.98,7.0,91.92,Flower,False,False,
Cherry Punch Buds - MED,,1/4 oz,25.72,7.0,102.88,Flower,False,False,
Permanent Marker- Green Pharm- MED,,1/2 oz,55.14,14.0,110.28,Flower,False,False,
Ice Cream Cake- Green Pharm- MED,,1/2 oz,55.14,14.0,110.28,Flower,False,False,
Fire Crotch- Green Pharm- MED,,1/2 oz,55.14,14.0,110.28,Flower,False,False,
Cherry Punch Buds - MED,,1/8 oz,13.79,3.5,110.32,Flower,False,False,
Tropicana Cherries- Green Pharm- MED,,1/8 oz,13.79,3.5,110.32,Flower,False,False,
Kept Secret- Green Pharm- MED,,1 oz,119.47,28.0,119.47000000000001,Flower,False,False,
Spritzer Buds - MED,,1 oz,128.66,28.0,128.66,Flower,False,False,
Permanent Marker- Green Pharm- MED,,1/4 oz,32.17,7.0,128.68,Flower,False,False,
Ice Cream Cake- Green Pharm- MED,,1/4 oz,32.17,7.0,128.68,Flower,False,False,
Fire Crotch- Green Pharm- MED,,1/4 oz,32.17,7.0,128.68,Flower,False,False,
Cherry Punch Buds - MED,,1 g,4.6,1.0,128.79999999999998,Flower,False,False,
E85 Buds | MED,,1 oz,136.97,28.0,136.97,Flower,False,False,
Pink Skittles Buds | MED,,1 oz,136.97,28.0,136.97,Flower,False,False,
Apple Mintz Buds - MED,,1 oz,136.97,28.0,136.97,Flower,False,False,
Strawberry Rock Candy Buds | MED,,1 oz,136.97,28.0,136.97,Flower,False,False,
Violet Fog Buds | MED,,1 oz,136.97,28.0,136.97,Flower,False,False,
Kept Secret- Green Pharm- MED,,1/2 oz,68.93,14.0,137.86,Flower,False,False,
Kept Secret- Green Pharm- MED,,1/4 oz,36.76,7.0,147.04,Flower,False,False,
Fire Crotch- Green Pharm- MED,,1/8 oz,18.38,3.5,147.04,Flower,False,False,
Spritzer Buds - MED,,1/2 oz,73.52,14.0,147.04,Flower,False,False,
Permanent Marker- Green Pharm- MED,,1/8 oz,18.38,3.5,147.04,Flower,False,False,
Ice Cream Cake- Green Pharm- MED,,1/8 oz,18.38,3.5,147.04,Flower,False,False,
Tropicana Cherries- Green Pharm- MED,,1 g,5.51,1.0,154.28,Flower,False,False,
Pink Skittles Buds | MED,,1/2 oz,77.61,14.0,155.22,Flower,False,False,
Strawberry Rock Candy Buds | MED,,1/2 oz,77.61,14.0,155.22,Flower,False,False,
Violet Fog Buds | MED,,1/2 oz,77.61,14.0,155.22,Flower,False,False,
E85 Buds | MED,,1/2 oz,77.61,14.0,155.22,Flower,False,False,
Apple Mintz Buds - MED,,1/2 oz,77.61,14.0,155.22,Flower,False,False,
Strawberry Rock Candy Buds | MED,,1/4 oz,41.1,7.0,164.4,Flower,False,False,
E85 Buds | MED,,1/4 oz,41.1,7.0,164.4,Flower,False,False,
Apple Mintz Buds - MED,,1/4 oz,41.1,7.0,164.4,Flower,False,False,
Pink Skittles Buds | MED,,1/4 oz,41.1,7.0,164.4,Flower,False,False,
Violet Fog Buds | MED,,1/4 oz,41.1,7.0,164.4,Flower,False,False,
Spritzer Buds - MED,,1/4 oz,41.36,7.0,165.44,Flower,False,False,
Kept Secret- Green Pharm- MED,,1/8 oz,22.98,3.5,183.84,Flower,False,False,
Spritzer Buds - MED,,1/8 oz,22.98,3.5,183.84,Flower,False,False,
Ice Cream Cake- Green Pharm- MED,,1 g,7.35,1.0,205.79999999999998,Flower,False,False,
Fire Crotch- Green Pharm- MED,,1 g,7.35,1.0,205.79999999999998,Flower,False,False,
Permanent Marker- Green Pharm- MED,,1 g,7.35,1.0,205.79999999999998,Flower,False,False,
Spritzer Buds - MED,,1 g,7.36,1.0,206.08,Flower,False,False,
Apple Mintz Buds - MED,,1/8 oz,27.4,3.5,219.2,Flower,False,False,
