name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
MED- Cake Crasher Popcorn Oz,,1 oz,50.0,28.0,50.0,Shake/Popcorn/Trim,False,,
MED- Mai Tai Popcorn oz,,1 oz,50.0,28.0,50.0,Shake/Popcorn/Trim,False,,
MED- Grease Monkey Popcorn oz,,1 oz,50.0,28.0,50.0,Shake/Popcorn/Trim,False,,
MED- Dante's Inferno #8 Full Bud oz,,1 oz,50.0,28.0,50.0,Flower,False,False,
MED- Apple Runtz Full Bud oz,,1 oz,75.0,28.0,75.0,Flower,False,False,
MED- Toasted Strudel Full Bud oz,,1 oz,75.0,28.0,75.0,Flower,False,False,
MED- Super Boof Full Bud oz,,1 oz,75.0,28.0,75.0,Flower,False,False,
MED- Grease Monkey Full Bud oz,,1 oz,75.0,28.0,75.0,Flower,False,False,
MED- Apricot Scone Full Bud oz,,1 oz,85.0,28.0,85.0,Flower,False,False,
MED- Lemon Cherry Gelato Full Bud oz,,1 oz,85.0,28.0,85.0,Flower,False,False,
MED- Gelato Pop Full Bud Oz,,1 oz,85.0,28.0,85.0,Flower,False,False,
MED- Strawberry Pie Full Bud oz,,1 oz,85.0,28.0,85.0,Flower,False,False,
MED- Soap Full Bud Oz,,1 oz,85.0,28.0,85.0,Flower,False,False,
MED- Electrolime Full Bud oz,,1 oz,85.0,28.0,85.0,Flower,False,False,
MED- Toasted Strudel 8th,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED- Cake Crasher 8th,,1/2 oz,45.0,14.0,90.0,Flower,False,False,
MED- Cake Crasher 8th,,1 oz,95.0,28.0,95.0,Flower,False,False,
MED- Cake Crasher 8th,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
Med- Dante's Inferno- 8th,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED- Cherry Punch 8th,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED- Apple Runtz 8th,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED- Toasted Strudel 8th,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED- Jungle Pie 8th,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED- Jenny Kush 8th,,1/2 oz,65.0,14.0,130.0,Flower,False,False,
MED- Jenny Kush 8th,,1 oz,135.0,28.0,135.0,Flower,False,False,
Med- Soap 8th,,1/8 oz,20.0,3.5,160.0,Flower,False,False,
MED- Mai Tai 8th,,1/8 oz,20.0,3.5,160.0,Flower,False,False,
MED- Jenny Kush 8th,,1/8 oz,20.0,3.5,160.0,Flower,False,False,
MED- Strawberry Pie 8th,,1/8 oz,20.0,3.5,160.0,Flower,False,False,
