name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Peanut Butter Mints I/H - PrePack,,448 g,918.4,448.0,57.39999999999999,Flower,False,False,
Pre-Pack OZ -Rotating Strains,,1 oz,57.44,28.0,57.43999999999999,Flower,True,,
14er Fumez - Top Shelf,,56 g,220.64,56.0,110.32,Flower,False,False,
14er Fumez - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
14er Lazer Jet - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
14er Mac Daddy - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
14er Gary Payton - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,True,stem_outlier
14er Fumez - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
14er Mac Daddy - Top Shelf,,56 g,220.64,56.0,110.32,Flower,False,False,
14er Magik Muffins - Top Shelf,,56 g,220.64,56.0,110.32,Flower,False,False,
14er Magik Muffins - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
14er Mac Daddy - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
14er Super Zoldier - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
Grape Cream Cake - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
14er Lazer Jet - Top Shelf,,56 g,220.64,56.0,110.32,Flower,False,False,
14er Lazer Jet - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
Grape Cream Cake - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
Headbanger - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
Headbanger - Top Shelf,,56 g,220.64,56.0,110.32,Flower,False,False,
Grape Cream Cake - Top Shelf,,56 g,220.64,56.0,110.32,Flower,False,False,
Pure Michigan - Top Shelf,,56 g,220.64,56.0,110.32,Flower,False,False,
Pure Michigan - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
Pure Michigan - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
Headbanger - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
Pyxy Stix - Top Shelf,,56 g,220.64,56.0,110.32,Flower,False,False,
Pyxy Stix - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
14er Super Zoldier - Top Shelf,,42 g,165.48,42.0,110.32,Flower,False,False,
Pyxy Stix - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
14er Magik Muffins - Top Shelf,,1 oz,110.32,28.0,110.32,Flower,False,False,
Grape Cream Cake - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
14er Super Zoldier - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
14er Magik Muffins - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
Pure Michigan - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
14er Gary Payton - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
Pyxy Stix - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
Headbanger - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
14er Fumez - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
14er Mac Daddy - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
14er Lazer Jet - Top Shelf,,1/2 oz,59.78,14.0,119.56000000000002,Flower,False,False,
Pure Michigan - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
14er Mac Daddy - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
14er Lazer Jet - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
Headbanger - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
14er Magik Muffins - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
Grape Cream Cake - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
14er Super Zoldier - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
14er Caramel Tsunami - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
14er Fumez - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
14er Gary Payton - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
Pyxy Stix - Top Shelf,,1/4 oz,41.37,7.0,165.48,Flower,False,False,
