name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Bridge Burn,,1 oz,49.84,28.0,49.84,Flower,False,True,"abs<117,stem_outlier"
Ghost Betty,,1 oz,49.84,28.0,49.84,Flower,False,True,"abs<117,stem_outlier"
Ghost Betty,,1/2 oz,34.89,14.0,69.78,Flower,False,False,
Bridge Burn,,1/2 oz,34.89,14.0,69.78,Flower,False,False,
Ghost Betty,,1/4 oz,19.93,7.0,79.72,Flower,False,False,
Bridge Burn,,1/4 oz,19.93,7.0,79.72,Flower,False,False,
Rainbow Sherbert,,1 oz,85.82,28.0,85.82,Flower,False,False,
Rainbow Sherbert,,1/2 oz,47.2,14.0,94.4,Flower,False,False,
Bridge Burn,,1/8 oz,11.96,3.5,95.68,Flower,False,False,
Ghost Betty,,1/8 oz,11.96,3.5,95.68,Flower,False,False,
Boom Box,,1 oz,99.66,28.0,99.66,Flower,False,False,
Black Ice,,1 oz,99.66,28.0,99.66,Flower,False,False,
Carbon Fiber,,1 oz,99.66,28.0,99.66,Flower,False,False,
Black Ice,,1/2 oz,59.81,14.0,119.62000000000002,Flower,False,False,
Carbon Fiber,,1/2 oz,59.81,14.0,119.62000000000002,Flower,False,False,
Boom Box,,1/2 oz,59.81,14.0,119.62000000000002,Flower,False,False,
Rainbow Sherbert,,1/4 oz,30.05,7.0,120.19999999999999,Flower,False,False,
Ice Cream Cake,,1 oz,124.59,28.0,124.59,Flower,False,True,stem_outlier
Dank Dough,,1 oz,124.59,28.0,124.59,Flower,False,True,stem_outlier
Rainbow Chip,,1 oz,124.59,28.0,124.59,Flower,False,True,stem_outlier
Nezquick,,1 oz,124.59,28.0,124.59,Flower,False,True,stem_outlier
Cherry Lemon Gelato,,1 oz,124.59,28.0,124.59,Flower,False,True,stem_outlier
Rainbow Sherbert,,1/8 oz,17.17,3.5,137.36,Flower,False,False,
Boom Box,,1/4 oz,34.89,7.0,139.56,Flower,False,False,
Carbon Fiber,,1/4 oz,34.89,7.0,139.56,Flower,False,False,
Black Ice,,1/4 oz,34.89,7.0,139.56,Flower,False,False,
Cherry Lemon Gelato,,1/2 oz,74.75,14.0,149.5,Flower,False,False,
Ice Cream Cake,,1/2 oz,74.75,14.0,149.5,Flower,False,False,
Dank Dough,,1/2 oz,74.75,14.0,149.5,Flower,False,False,
Nezquick,,1/2 oz,74.75,14.0,149.5,Flower,False,False,
Rainbow Chip,,1/2 oz,74.75,14.0,149.5,Flower,False,False,
Lato 95,,1 oz,159.48,28.0,159.48,Flower,False,True,stem_outlier
Tropicana Banana,,1 oz,159.48,28.0,159.48,Flower,False,True,stem_outlier
Super Boof,,1 oz,159.48,28.0,159.48,Flower,False,True,stem_outlier
Shazam,,1 oz,159.48,28.0,159.48,Flower,False,True,stem_outlier
Mai Tai,,1 oz,159.48,28.0,159.48,Flower,False,True,stem_outlier
Boom Box,,1/8 oz,19.94,3.5,159.52,Flower,False,False,
Black Ice,,1/8 oz,19.94,3.5,159.52,Flower,False,False,
Carbon Fiber,,1/8 oz,19.94,3.5,159.52,Flower,False,False,
Bridge Burn,,1 g,5.98,1.0,167.44,Flower,False,False,
Ghost Betty,,1 g,5.98,1.0,167.44,Flower,False,False,
Rainbow Sherbert,,1 g,6.01,1.0,168.28,Flower,False,False,
Super Boof,,1/2 oz,89.7,14.0,179.4,Flower,False,False,
Shazam,,1/2 oz,89.7,14.0,179.4,Flower,False,False,
Mai Tai,,1/2 oz,89.7,14.0,179.4,Flower,False,False,
Tropicana Banana,,1/2 oz,89.7,14.0,179.4,Flower,False,False,
Lato 95,,1/2 oz,89.7,14.0,179.4,Flower,False,False,
Jenny Kush,,1/2 oz,89.7,14.0,179.4,Flower,False,False,
Ice Cream Cake,,1/4 oz,49.84,7.0,199.36,Flower,False,False,
Rainbow Chip,,1/4 oz,49.84,7.0,199.36,Flower,False,False,
