name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
MED - Legacy Grown - Rainbow Beltz / Sugar Leaf Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Dante's Wrath / Sugar Leaf Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Gold Digger / Sugar Leaf Shake,,112 g,50.0,112.0,12.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Four Kings / Orange Tier,,1/8 oz,3.75,3.5,30.0,Flower,False,False,
MED - Legacy Grown - Four Kings / Orange Tier,,1/4 oz,7.5,7.0,30.0,Flower,False,False,
MED - Legacy Grown - Four Kings / Orange Tier,,1 g,1.25,1.0,35.0,Flower,False,False,
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Point Break / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Vera - Sherblaster / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Vera - Jack Herer / Red tier Popcorn,,112 g,150.0,112.0,37.5,Shake/Popcorn/Trim,False,,
MED - Vera - Jack Herer / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Point Break / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Vera - A1 Stank Sauce x Furious George / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Vera - Sherblaster / Red tier Popcorn,,57 g,76.34,57.0,37.500350877192986,Shake/Popcorn/Trim,False,,
MED - Legacy Grown - Point Break / Red tier Popcorn,,1/4 oz,10.0,7.0,40.0,Shake/Popcorn/Trim,False,,
