name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Banana Kush Flower,,1 oz,80.37,28.0,80.37,Flower,False,False,
M-Space Cat-(S)-Popcorn-Natty Rems,,1 oz,80.87,28.0,80.87,Shake/Popcorn/Trim,False,,
Sundae Driver Flower,,1 oz,80.87,28.0,80.87,Flower,False,False,
Banana Kush Flower,,1/4 oz,21.0,7.0,84.0,Flower,False,False,
Banana Kush Flower,,1/2 oz,42.01,14.0,84.02,Flower,False,False,
Sundae Driver Flower,,1/4 oz,21.14,7.0,84.56,Flower,False,False,
M-Space Cat-(S)-Popcorn-Natty Rems,,1/2 oz,42.28,14.0,84.56,Shake/Popcorn/Trim,False,,
M-Space Cat-(S)-Popcorn-Natty Rems,,1/4 oz,21.14,7.0,84.56,Shake/Popcorn/Trim,False,,
Sundae Driver Flower,,1/2 oz,42.28,14.0,84.56,Flower,False,False,
Banana Kush Flower,,1/8 oz,11.87,3.5,94.96,Flower,False,False,
M-Space Cat-(S)-Popcorn-Natty Rems,,1/8 oz,11.95,3.5,95.6,Shake/Popcorn/Trim,False,,
Sundae Driver Flower,,1/8 oz,11.95,3.5,95.6,Flower,False,False,
Banana Kush Flower,,1 g,3.65,1.0,102.2,Flower,False,False,
M-Space Cat-(S)-Popcorn-Natty Rems,,1 g,3.68,1.0,103.04,Shake/Popcorn/Trim,False,,
Sundae Driver Flower,,1 g,3.68,1.0,103.04,Flower,False,False,
M-Banana Punch-(I)-Bulk-Natty Rems,,1 oz,112.12,28.0,112.12,Flower,False,False,
M-Lunar Haze-(S)-Bulk-Natty Rems,,1 oz,112.12,28.0,112.12,Flower,False,False,
Natty Rems OG,,1 oz,112.12,28.0,112.12,Flower,False,False,
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1 oz,112.12,28.0,112.12,Flower,False,False,
Sundae Driver Flower,,1 oz,112.12,28.0,112.12,Flower,False,False,
M-Slowpoke-(I)-Bulk-Natty Rems,,1 oz,112.12,28.0,112.12,Flower,False,False,
M-OG Kush-(I)-Bulk-Natty Rems,,1 oz,112.12,28.0,112.12,Flower,False,False,
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/2 oz,58.82,14.0,117.63999999999999,Flower,False,False,
M-OG Kush-(I)-Bulk-Natty Rems,,1/2 oz,58.82,14.0,117.63999999999999,Flower,False,False,
Natty Rems OG,,1/2 oz,58.82,14.0,117.63999999999999,Flower,False,False,
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1/2 oz,58.82,14.0,117.63999999999999,Flower,False,False,
M-Slowpoke-(I)-Bulk-Natty Rems,,1/2 oz,58.82,14.0,117.63999999999999,Flower,False,False,
M-Banana Punch-(I)-Bulk-Natty Rems,,1/2 oz,58.82,14.0,117.63999999999999,Flower,False,False,
Sundae Driver Flower,,1/2 oz,58.82,14.0,117.63999999999999,Flower,False,False,
M-OG Kush-(I)-Bulk-Natty Rems,,1/4 oz,30.33,7.0,121.32,Flower,False,False,
Banana Kush Flower,,1/4 oz,30.33,7.0,121.32,Flower,False,False,
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/4 oz,30.33,7.0,121.32,Flower,False,False,
M-Banana Punch-(I)-Bulk-Natty Rems,,1/4 oz,30.33,7.0,121.32,Flower,False,False,
M-Slowpoke-(I)-Bulk-Natty Rems,,1/4 oz,30.33,7.0,121.32,Flower,False,False,
Natty Rems OG,,1/4 oz,30.33,7.0,121.32,Flower,False,False,
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1/4 oz,30.33,7.0,121.32,Flower,False,False,
Sundae Driver Flower,,1/4 oz,30.33,7.0,121.32,Flower,False,False,
M-Banana Punch-(I)-Bulk-Natty Rems,,1/8 oz,16.54,3.5,132.32,Flower,False,False,
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/8 oz,16.54,3.5,132.32,Flower,False,False,
M-OG Kush-(I)-Bulk-Natty Rems,,1/8 oz,16.54,3.5,132.32,Flower,False,False,
Sundae Driver Flower,,1/8 oz,16.54,3.5,132.32,Flower,False,False,
Natty Rems OG,,1/8 oz,16.54,3.5,132.32,Flower,False,False,
M-Peach Crescendo-(S)-Bulk-Natty Rems,,1/8 oz,16.54,3.5,132.32,Flower,False,False,
M-Slowpoke-(I)-Bulk-Natty Rems,,1/8 oz,16.54,3.5,132.32,Flower,False,False,
Banana Kush Flower,,1/8 oz,16.54,3.5,132.32,Flower,False,False,
M-Lunar Haze-(S)-Bulk-Natty Rems,,1 g,5.51,1.0,154.28,Flower,False,False,
M-Banana Punch-(I)-Bulk-Natty Rems,,1 g,5.51,1.0,154.28,Flower,False,False,
Banana Kush Flower,,1 g,5.51,1.0,154.28,Flower,False,False,
M-OG Kush-(I)-Bulk-Natty Rems,,1 g,5.51,1.0,154.28,Flower,False,False,
Natty Rems OG,,1 g,5.51,1.0,154.28,Flower,False,False,
