name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
M-Bitter Cookies-(S)-Popcorn-Natty Rems,,1 g,0.89,1.0,24.92,Shake/Popcorn/Trim,False,,
M-Flo Driver-(S)-Popcorn-Natty Rems,,1 oz,81.86,28.0,81.86,Shake/Popcorn/Trim,False,,
M-Major Tom-(H)-Popcorn-Natty Rems,,1 oz,81.86,28.0,81.86,Shake/Popcorn/Trim,False,,
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1 oz,81.86,28.0,81.86,Shake/Popcorn/Trim,False,,
M-McFlurry-(H)-Popcorn-Natty Rems,,1 oz,81.86,28.0,81.86,Shake/Popcorn/Trim,False,,
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1/2 oz,42.79,14.0,85.58,Shake/Popcorn/Trim,False,,
M-Flo Driver-(S)-Popcorn-Natty Rems,,1/2 oz,42.79,14.0,85.58,Shake/Popcorn/Trim,False,,
M-Major Tom-(H)-Popcorn-Natty Rems,,1/2 oz,42.79,14.0,85.58,Shake/Popcorn/Trim,False,,
M-McFlurry-(H)-Popcorn-Natty Rems,,1/2 oz,42.79,14.0,85.58,Shake/Popcorn/Trim,False,,
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1/4 oz,21.4,7.0,85.6,Shake/Popcorn/Trim,False,,
M-Major Tom-(H)-Popcorn-Natty Rems,,1/4 oz,21.4,7.0,85.6,Shake/Popcorn/Trim,False,,
M-Flo Driver-(S)-Popcorn-Natty Rems,,1/4 oz,21.4,7.0,85.6,Shake/Popcorn/Trim,False,,
M-McFlurry-(H)-Popcorn-Natty Rems,,1/4 oz,21.4,7.0,85.6,Shake/Popcorn/Trim,False,,
M-Major Tom-(H)-Popcorn-Natty Rems,,1/8 oz,12.09,3.5,96.72,Shake/Popcorn/Trim,False,,
M-Flo Driver-(S)-Popcorn-Natty Rems,,1/8 oz,12.09,3.5,96.72,Shake/Popcorn/Trim,False,,
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1/8 oz,12.09,3.5,96.72,Shake/Popcorn/Trim,False,,
M-McFlurry-(H)-Popcorn-Natty Rems,,1/8 oz,12.09,3.5,96.72,Shake/Popcorn/Trim,False,,
M-Major Tom-(H)-Popcorn-Natty Rems,,1 g,3.72,1.0,104.16000000000001,Shake/Popcorn/Trim,False,,
M-Flo Driver-(S)-Popcorn-Natty Rems,,1 g,3.72,1.0,104.16000000000001,Shake/Popcorn/Trim,False,,
M-Lunar Haze-(S)-Popcorn-Natty Rems,,1 g,3.72,1.0,104.16000000000001,Shake/Popcorn/Trim,False,,
M-McFlurry-(H)-Popcorn-Natty Rems,,1 g,3.72,1.0,104.16000000000001,Shake/Popcorn/Trim,False,,
M-Lunar Haze-(S)-Bulk-Natty Rems,,1 oz,113.49,28.0,113.49,Flower,False,False,
M-Major Tom-(H)-Bulk-Natty Rems,,1 oz,113.49,28.0,113.49,Flower,False,False,
M-McFlurry-(H)-Bulk-Natty Rems,,1 oz,113.49,28.0,113.49,Flower,False,False,
M-Space Cat-(S)-Bulk-Natty Rems,,1 oz,113.49,28.0,113.49,Flower,False,False,
M-Slowpoke-(I)-Bulk-Natty Rems,,1 oz,113.49,28.0,113.49,Flower,False,False,
M-Wedding Krasher-(H)-Bulk-Natty Rems,,1 oz,113.49,28.0,113.49,Flower,False,False,
M-Triangle Kush x Fruity OG-(I)-Bulk-Natty Rems,,1 oz,113.49,28.0,113.49,Flower,False,False,
M-Shawshank-(H)-Bulk-Natty Rems,,1 oz,113.49,28.0,113.49,Flower,False,False,
Purple Trainwreck,,1 oz,113.49,28.0,113.49,Flower,False,False,
Natty Rems OG,,1 oz,113.49,28.0,113.49,Flower,False,False,
Member Berries,,1 oz,113.49,28.0,113.49,Flower,False,False,
M-Triangle Kush x Fruity OG-(I)-Bulk-Natty Rems,,1/2 oz,59.53,14.0,119.06,Flower,False,False,
M-Slowpoke-(I)-Bulk-Natty Rems,,1/2 oz,59.53,14.0,119.06,Flower,False,False,
M-Space Cat-(S)-Bulk-Natty Rems,,1/2 oz,59.53,14.0,119.06,Flower,False,False,
M-Wedding Krasher-(H)-Bulk-Natty Rems,,1/2 oz,59.53,14.0,119.06,Flower,False,False,
M-McFlurry-(H)-Bulk-Natty Rems,,1/2 oz,59.53,14.0,119.06,Flower,False,False,
M-Shawshank-(H)-Bulk-Natty Rems,,1/2 oz,59.53,14.0,119.06,Flower,False,False,
M-Lunar Haze-(S)-Bulk-Natty Rems,,1/2 oz,59.53,14.0,119.06,Flower,False,False,
M-Major Tom-(H)-Bulk-Natty Rems,,1/2 oz,59.53,14.0,119.06,Flower,False,False,
