name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
Magic City Cannabis (In House) - Fried Strawberry Shake,,1/2 oz,10.1,14.0,20.2,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Fried Strawberry Shake,,1 oz,20.21,28.0,20.21,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Fried Strawberry Shake,,1/4 oz,7.05,7.0,28.2,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Keanu Reeves Shake,,1/2 oz,15.16,14.0,30.320000000000004,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Key Lime Pie Shake,,1 oz,30.32,28.0,30.320000000000004,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Key Lime Pie Shake,,1/2 oz,15.16,14.0,30.320000000000004,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Keanu Reeves Shake,,1 oz,30.32,28.0,30.320000000000004,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Permanent Marker Shake,,1/2 oz,15.16,14.0,30.320000000000004,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Permanent Marker Shake,,1 oz,30.32,28.0,30.320000000000004,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Gelato Cake Shake,,1 oz,34.91,28.0,34.91,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Dirty Taxi Shake,,1 oz,34.91,28.0,34.91,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Zkittlez x Kush Mintz Shake,,1 oz,34.91,28.0,34.91,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Soap Shake,,1 oz,34.91,28.0,34.91,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Pink Zkittlez Shake,,1 oz,34.91,28.0,34.91,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Lickz Shake,,1 oz,34.91,28.0,34.91,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Gelato Punch Shake,,1 oz,34.91,28.0,34.91,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Gelato Punch Shake,,1/2 oz,17.46,14.0,34.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Lickz Shake,,1/2 oz,17.46,14.0,34.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Pink Zkittlez Shake,,1/2 oz,17.46,14.0,34.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Dirty Taxi Shake,,1/2 oz,17.46,14.0,34.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Gelato Cake Shake,,1/2 oz,17.46,14.0,34.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Soap Shake,,1/2 oz,17.46,14.0,34.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Zkittlez x Kush Mintz Shake,,1/2 oz,17.46,14.0,34.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Fried Strawberry Shake,,1/8 oz,4.5,3.5,36.0,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Fried Strawberry Shake,,1 g,1.3,1.0,36.4,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Keanu Reeves Shake,,1/4 oz,9.58,7.0,38.32,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Permanent Marker Shake,,1/4 oz,9.58,7.0,38.32,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Key Lime Pie Shake,,1/4 oz,9.58,7.0,38.32,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Zkittlez x Kush Mintz Shake,,1/4 oz,10.73,7.0,42.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Soap Shake,,1/4 oz,10.73,7.0,42.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Gelato Cake Shake,,1/4 oz,10.73,7.0,42.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Dirty Taxi Shake,,1/4 oz,10.73,7.0,42.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Pink Zkittlez Shake,,1/4 oz,10.73,7.0,42.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Gelato Punch Shake,,1/4 oz,10.73,7.0,42.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Lickz Shake,,1/4 oz,10.73,7.0,42.92,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Candy Bezels Shake,,1 oz,44.3,28.0,44.3,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Candy Bezels Shake,,1/2 oz,22.5,14.0,45.0,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Key Lime Pie Shake,,1 g,1.65,1.0,46.199999999999996,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Permanent Marker Shake,,1 g,1.65,1.0,46.199999999999996,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Keanu Reeves Shake,,1 g,1.65,1.0,46.199999999999996,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Keanu Reeves Shake,,1/8 oz,5.79,3.5,46.32,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Permanent Marker Shake,,1/8 oz,5.79,3.5,46.32,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Key Lime Pie Shake,,1/8 oz,5.79,3.5,46.32,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Fried Strawberry Popcorn,,1/2 oz,24.35,14.0,48.7,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) Papaya Juice Popcorn,,1/2 oz,24.35,14.0,48.7,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) Papaya Juice Popcorn,,1 oz,48.7,28.0,48.7,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Fried Strawberry Popcorn,,1 oz,48.7,28.0,48.7,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Zkittlez x Kush Mintz Shake,,1 g,1.81,1.0,50.68,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Pink Zkittlez Shake,,1 g,1.81,1.0,50.68,Shake/Popcorn/Trim,False,,
Magic City Cannabis (In House) - Lickz Shake,,1 g,1.81,1.0,50.68,Shake/Popcorn/Trim,False,,
