name,brand,size_label,price,weight_g,price_per_oz,report_category,is_bundle,aud_suspect,suspect_reason
MED Equinox Divorce Cake Pre-Pack Flower 28g,,1 oz,75.0,28.0,75.0,Flower,True,,
MED Equinox Moon Boots Pre-Pack Flower 28g,,1 oz,75.0,28.0,75.0,Flower,True,,
MED Equinox LA Baker Pre-Pack Flower 28g,,1 oz,75.0,28.0,75.0,Flower,True,,
MED Equinox Divorce Cake Flower 3.5g,,1/4 oz,25.0,7.0,100.0,Flower,False,False,
MED Equinox Moon Boots Flower 3.5g,,1/4 oz,25.0,7.0,100.0,Flower,False,False,
MED Equinox Mac & Cheese Flower 3.5g,,1/4 oz,25.0,7.0,100.0,Flower,False,False,
MED Equinox Moon Boots Flower 3.5g,,1/2 oz,55.0,14.0,110.0,Flower,False,False,
MED Equinox Divorce Cake Flower 3.5g,,1/2 oz,55.0,14.0,110.0,Flower,False,False,
MED Equinox Moon Boots Flower 3.5g,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED Equinox Mac & Cheese Flower 3.5g,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED Equinox Divorce Cake Flower 3.5g,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED Equinox Key Lime Pie Flower 3.5g,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
MED Equinox White 99 Flower 3.5g,,1/8 oz,15.0,3.5,120.0,Flower,False,False,
